step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.5,0.520024,0.087438,"[-0.01358, -0.019946, -0.014034]",0.099878,0.839
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.5,0.720716,0.08257,"[-0.015421, -0.019947, -0.014527]",0.092675,0.8155
4,4,buyer_5,1.1,0.1,0.290784,0.003131,"[-0.019855, -0.019979, -0.019905]",0.003392,0.7463
5,5,buyer_6,1.1,1.2756,0.712734,0.450802,"[0.023317, -0.019998, 0.026112]",0.540233,0.9822
6,6,buyer_7,1.15,0.9,0.645013,0.27762,"[0.002094, -0.019846, 0.000538]",0.320406,0.9098
7,7,buyer_8,1.15,1.0861,0.55721,0.419014,"[0.017894, -0.019971, 0.02164]",0.498577,0.9721
8,8,buyer_9,1.1,0.1,0.317244,0.003144,"[-0.019858, -0.019995, -0.019886]",0.003404,0.749
9,9,buyer_10,1.1,0.1,0.568359,0.003131,"[-0.019784, -0.019992, -0.01989]",0.003464,0.762
10,10,buyer_11,1.1,0.1,0.51227,0.003224,"[-0.019861, -0.019996, -0.019872]",0.003495,0.7689
11,11,buyer_12,1.1,1.2268,0.664743,0.450803,"[0.028906, -0.019998, 0.020522]",0.540234,0.9822
12,12,buyer_13,1.15,0.1,0.673284,0.002948,"[-0.019915, -0.019999, -0.019918]",0.003116,0.7166
13,13,buyer_14,1.15,1.1228,0.564031,0.449388,"[0.016411, -0.019952, 0.032156]",0.538003,0.9815
14,14,buyer_15,1.1,0.1,0.562776,0.003175,"[-0.019845, -0.02, -0.019868]",0.003462,0.7617
15,15,buyer_16,1.1,0.1,0.384444,0.003093,"[-0.019828, -0.019987, -0.019935]",0.003343,0.7355
16,16,buyer_17,1.1,0.1,0.656826,0.003209,"[-0.019897, -0.019998, -0.019801]",0.003512,0.7727
17,17,buyer_18,1.1,0.1,0.270256,0.003119,"[-0.019855, -0.019999, -0.019846]",0.003419,0.7522
18,18,buyer_19,1.1,1.1276,0.567371,0.450803,"[0.024714, -0.019998, 0.024714]",0.540233,0.9822
19,19,buyer_20,1.15,0.1,0.69701,0.003017,"[-0.019869, -0.019997, -0.019883]",0.003268,0.7516
20,20,buyer_21,1.15,0.1,0.811026,0.003012,"[-0.01984, -0.019995, -0.019831]",0.003346,0.7697
21,21,buyer_22,1.15,0.1,0.500005,0.003019,"[-0.019837, -0.019991, -0.019848]",0.003344,0.769
22,22,buyer_23,1.15,1.2707,0.68334,0.471294,"[0.026747, -0.019998, 0.026747]",0.56479,0.9822
23,23,buyer_24,1.15,1.1931,0.607141,0.471294,"[0.034051, -0.019998, 0.019443]",0.564789,0.9822
