step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.55,0.7389,0.455639,0.225402,"[0.00096, -0.019999, 0.003755]",0.270117,0.9822
2,2,buyer_3,0.6,1.1586,0.843348,0.245892,"[0.000579, -0.019999, 0.0082]",0.294673,0.9822
3,3,buyer_4,0.65,0.9974,0.660425,0.266384,"[0.009725, -0.019999, 0.003119]",0.31923,0.9822
4,4,buyer_5,0.7,0.3942,0.255937,0.086327,"[-0.012638, -0.019937, -0.013451]",0.100301,0.9037
5,5,buyer_6,0.75,1.2756,0.884626,0.307366,"[0.016203, -0.019999, 0.004771]",0.368341,0.9822
6,6,buyer_7,0.8,1.0611,0.649396,0.327857,"[0.006422, -0.019999, 0.018617]",0.392898,0.9822
7,7,buyer_8,0.85,1.0861,0.649321,0.348349,"[0.015632, -0.019998, 0.013472]",0.417454,0.9822
8,8,buyer_9,0.85,0.4281,0.278231,0.082969,"[-0.014664, -0.019935, -0.014718]",0.093652,0.8687
9,9,buyer_10,0.85,0.7504,0.401616,0.268066,"[0.008507, -0.019927, 0.000713]",0.317358,0.9581
10,10,buyer_11,0.85,0.6708,0.377483,0.210233,"[-0.004493, -0.019974, 0.000264]",0.24603,0.9295
11,11,buyer_12,0.85,1.2268,0.787522,0.348349,"[0.013472, -0.019998, 0.015632]",0.417455,0.9822
12,12,buyer_13,0.85,0.9439,0.509648,0.348348,"[0.009153, -0.019998, 0.019951]",0.417454,0.9822
13,13,buyer_14,0.85,1.1228,0.685368,0.348347,"[0.014552, -0.019998, 0.014552]",0.417452,0.9822
14,14,buyer_15,0.85,0.7434,0.402123,0.264257,"[0.006312, -0.019985, 0.001928]",0.312511,0.9613
15,15,buyer_16,0.85,0.5272,0.325287,0.127771,"[-0.011448, -0.019914, -0.01017]",0.146239,0.8943
16,16,buyer_17,0.85,0.8546,0.421954,0.348348,"[0.017791, -0.019998, 0.011313]",0.417453,0.9822
17,17,buyer_18,0.85,0.3638,0.242533,0.057974,"[-0.015732, -0.019871, -0.016334]",0.066037,0.8481
18,18,buyer_19,0.85,1.1276,0.69015,0.348348,"[0.013472, -0.019999, 0.015632]",0.417454,0.9822
19,19,buyer_20,0.85,0.9317,0.497664,0.348348,"[0.017791, -0.019999, 0.011313]",0.417454,0.9822
20,20,buyer_21,0.85,1.0581,0.621842,0.348348,"[0.02103, -0.019998, 0.008073]",0.417453,0.9822
21,21,buyer_22,0.85,0.6545,0.377144,0.201697,"[-0.002264, -0.019778, -0.003542]",0.236113,0.9369
22,22,buyer_23,0.85,1.2707,0.830674,0.348349,"[0.015632, -0.019998, 0.013472]",0.417455,0.9822
23,23,buyer_24,0.85,1.1931,0.754476,0.348349,"[0.014552, -0.019998, 0.014552]",0.417455,0.9822
24,24,buyer_25,0.85,1.0784,0.641779,0.348347,"[0.016711, -0.019999, 0.012392]",0.417452,0.9822
25,25,buyer_26,0.85,0.4946,0.312175,0.111377,"[-0.012086, -0.019857, -0.011328]",0.128106,0.8901
26,26,buyer_27,0.85,0.7667,0.40646,0.281203,"[0.009307, -0.019974, 0.003386]",0.333921,0.9656
27,27,buyer_28,0.85,0.3438,0.230285,0.051373,"[-0.01607, -0.019972, -0.016953]",0.058379,0.8396
28,28,buyer_29,0.85,0.4543,0.291408,0.093125,"[-0.012405, -0.01995, -0.014498]",0.106272,0.8754
29,29,buyer_30,0.85,0.983,0.548136,0.348348,"[0.02427, -0.019998, 0.004834]",0.417454,0.9822
30,30,buyer_31,0.85,1.0448,0.608752,0.348348,"[0.006994, -0.019998, 0.02211]",0.417454,0.9822
31,31,buyer_32,0.85,1.2675,0.827546,0.348347,"[0.002675, -0.019998, 0.026429]",0.417452,0.9822
32,32,buyer_33,0.85,0.6258,0.363196,0.182225,"[-0.004735, -0.01993, -0.005959]",0.211602,0.9185
33,33,buyer_34,0.85,0.6705,0.37941,0.211102,"[0.002905, -0.019949, -0.006979]",0.24708,0.9344
34,34,buyer_35,0.85,0.7696,0.407458,0.283624,"[0.011843, -0.019933, 0.001469]",0.337002,0.9674
35,35,buyer_36,0.85,0.4895,0.306398,0.107434,"[-0.011944, -0.019984, -0.011616]",0.123891,0.8791
36,36,buyer_37,0.85,0.4299,0.278127,0.082052,"[-0.014349, -0.019924, -0.013633]",0.094146,0.8659
37,37,buyer_38,0.85,0.7757,0.407377,0.287926,"[0.005556, -0.019919, 0.008323]",0.341887,0.9659
38,38,buyer_39,0.85,0.5269,0.325853,0.1267,"[-0.008577, -0.019943, -0.011819]",0.146361,0.8962
39,39,buyer_40,0.85,0.9698,0.535136,0.348348,"[0.015632, -0.019998, 0.013472]",0.417454,0.9822
40,40,buyer_41,0.85,0.7372,0.397485,0.257755,"[0.003882, -0.019996, 0.002672]",0.304313,0.952
41,41,buyer_42,0.85,1.1327,0.695107,0.348349,"[0.015632, -0.019999, 0.013472]",0.417454,0.9822
42,42,buyer_43,0.85,1.0003,0.565046,0.348348,"[0.011313, -0.019999, 0.017791]",0.417454,0.9822
43,43,buyer_44,0.85,0.6124,0.360787,0.175457,"[-0.00554, -0.019861, -0.006923]",0.203133,0.9209
44,44,buyer_45,0.85,1.1323,0.694696,0.348349,"[0.015632, -0.019999, 0.013472]",0.417455,0.9822
45,45,buyer_46,0.85,1.1048,0.66769,0.348348,"[0.014552, -0.019999, 0.014552]",0.417453,0.9822
46,46,buyer_47,0.85,0.6875,0.385539,0.223764,"[0.002964, -0.019917, -0.005039]",0.261772,0.9416
47,47,buyer_48,0.85,0.5883,0.351457,0.160573,"[-0.004648, -0.019903, -0.01002]",0.186001,0.9135
48,48,buyer_49,0.85,0.9825,0.547592,0.348348,"[0.014552, -0.019999, 0.014552]",0.417454,0.9822
49,49,buyer_50,0.85,0.4398,0.284146,0.086106,"[-0.01455, -0.019966, -0.01244]",0.09915,0.8716
