step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.7389,0.393893,0.188393,"[-0.007124, -0.019861, -0.007585]",0.213823,0.8225
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.9974,0.504793,0.357795,"[0.005144, -0.019998, 0.015695]",0.418636,0.9259
4,4,buyer_5,1.05,0.3942,0.229207,0.049965,"[-0.018277, -0.019635, -0.019088]",0.052965,0.7158
5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
6,6,buyer_7,1.1,1.0611,0.530456,0.417172,"[0.020562, -0.019975, 0.016495]",0.494255,0.9657
7,7,buyer_8,1.05,1.0861,0.551097,0.430312,"[0.021348, -0.019998, 0.024016]",0.515678,0.9822
8,8,buyer_9,1.1,0.4281,0.23993,0.055672,"[-0.019138, -0.019991, -0.018573]",0.057971,0.6958
9,9,buyer_10,1.1,0.7504,0.399792,0.186196,"[-0.010936, -0.019758, -0.008552]",0.206951,0.8086
10,10,buyer_11,1.05,0.6708,0.36115,0.155644,"[-0.013742, -0.019882, -0.012514]",0.169506,0.7911
11,11,buyer_12,1.05,1.2268,0.689299,0.430312,"[0.020014, -0.019998, 0.025349]",0.515678,0.9822
12,12,buyer_13,1.1,0.9439,0.484606,0.314324,"[0.009568, -0.019961, 0.000204]",0.364135,0.8992
13,13,buyer_14,1.05,1.1228,0.587143,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
14,14,buyer_15,1.1,0.7434,0.392461,0.179114,"[-0.012045, -0.019982, -0.006782]",0.200305,0.7974
15,15,buyer_16,1.1,0.5272,0.291658,0.085745,"[-0.018373, -0.019998, -0.015446]",0.091928,0.7275
16,16,buyer_17,1.05,0.8546,0.439925,0.263315,"[-0.004321, -0.019994, 0.002871]",0.30187,0.868
