step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.8,1.074,0.661986,0.327856,"[0.019633, -0.019999, 0.005406]",0.392896,0.9822
1,1,buyer_2,0.8,0.3,0.516704,0.03883,"[-0.018299, -0.019955, -0.017998]",0.042577,0.7569
2,2,buyer_3,0.8,1.1586,0.745124,0.327856,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
3,3,buyer_4,0.8,0.9974,0.586756,0.327858,"[0.011503, -0.019999, 0.013536]",0.392898,0.9822
4,4,buyer_5,0.8,0.3942,0.228392,0.067747,"[-0.015716, -0.019994, -0.017365]",0.074672,0.7689
5,5,buyer_6,0.8,1.2756,0.86007,0.327857,"[0.010487, -0.019999, 0.014552]",0.392897,0.9822
6,6,buyer_7,0.8,1.0611,0.649395,0.327857,"[0.010487, -0.019999, 0.014552]",0.392898,0.9822
7,7,buyer_8,0.8,1.0861,0.673878,0.327857,"[0.011503, -0.019999, 0.013536]",0.392897,0.9822
8,8,buyer_9,0.8,0.4281,0.244524,0.082223,"[-0.015833, -0.019923, -0.017145]",0.089322,0.7798
9,9,buyer_10,0.8,0.7504,0.382857,0.285755,"[0.002257, -0.019909, 0.010063]",0.338167,0.9609
10,10,buyer_11,0.8,0.6708,0.353677,0.220658,"[-0.002101, -0.019953, -0.003279]",0.255325,0.9079
11,11,buyer_12,0.8,1.2268,0.812078,0.327858,"[0.01252, -0.019999, 0.01252]",0.392899,0.9822
12,12,buyer_13,0.8,0.9439,0.534205,0.327856,"[0.007438, -0.019998, 0.017601]",0.392897,0.9822
13,13,buyer_14,0.8,1.1228,0.709922,0.327858,"[0.014552, -0.019999, 0.010487]",0.392898,0.9822
14,14,buyer_15,0.8,0.7434,0.378857,0.279459,"[0.003984, -0.019794, 0.00513]",0.328779,0.9519
15,15,buyer_16,0.8,0.5272,0.292742,0.127081,"[-0.012152, -0.01984, -0.011244]",0.143845,0.8281
16,16,buyer_17,0.8,0.8546,0.44651,0.327857,"[0.018617, -0.019999, 0.006422]",0.392897,0.9822
17,17,buyer_18,0.8,0.3,0.23262,0.038708,"[-0.018036, -0.019978, -0.018151]",0.042543,0.7563
18,18,buyer_19,0.8,1.1276,0.714707,0.327856,"[0.014552, -0.019999, 0.010487]",0.392897,0.9822
19,19,buyer_20,0.8,0.9317,0.522221,0.327856,"[0.003373, -0.019999, 0.021666]",0.392896,0.9822
20,20,buyer_21,0.8,1.0581,0.646398,0.327857,"[0.009471, -0.019999, 0.015568]",0.392897,0.9822
21,21,buyer_22,0.8,0.6545,0.347033,0.207943,"[-0.002398, -0.019977, -0.005359]",0.240209,0.8972
22,22,buyer_23,0.8,1.2707,0.85523,0.327859,"[0.007438, -0.019999, 0.017601]",0.3929,0.9822
23,23,buyer_24,0.8,1.1931,0.779035,0.327856,"[0.006422, -0.019998, 0.018617]",0.392896,0.9822
24,24,buyer_25,0.8,1.0784,0.666333,0.327857,"[0.005406, -0.019999, 0.019633]",0.392897,0.9822
25,25,buyer_26,0.8,0.3,0.334531,0.03907,"[-0.017938, -0.019973, -0.018236]",0.042924,0.7631
26,26,buyer_27,0.8,0.7667,0.385909,0.29948,"[0.012093, -0.019944, 0.003419]",0.355048,0.9664
27,27,buyer_28,0.8,0.2,0.241481,0.017488,"[-0.019116, -0.01998, -0.019456]",0.018936,0.7575
28,28,buyer_29,0.8,0.2,0.315184,0.017075,"[-0.019382, -0.019992, -0.019347]",0.018355,0.7342
29,29,buyer_30,0.8,0.983,0.572691,0.327857,"[0.006422, -0.019999, 0.018617]",0.392898,0.9822
30,30,buyer_31,0.8,1.0448,0.633309,0.327857,"[0.00439, -0.019999, 0.020649]",0.392898,0.9822
31,31,buyer_32,0.8,1.2675,0.852102,0.327856,"[0.016584, -0.019999, 0.008454]",0.392897,0.9822
32,32,buyer_33,0.8,0.6258,0.336544,0.188565,"[-0.004366, -0.019859, -0.008168]",0.216172,0.8832
