step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.7,0.407585,0.16693,"[-0.009501, -0.019857, -0.009452]",0.18812,0.8062
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.8,0.576144,0.211378,"[-0.008278, -0.019864, -0.00599]",0.237247,0.8155
4,4,buyer_5,1.05,0.3,0.2472,0.028724,"[-0.019171, -0.019784, -0.019614]",0.030156,0.7036
5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
6,6,buyer_7,1.15,0.9,0.596692,0.263294,"[-0.003364, -0.019532, -0.003996]",0.296403,0.8416
7,7,buyer_8,1.1,0.9,0.625197,0.280269,"[-0.001162, -0.019613, 0.001152]",0.320646,0.8709
8,8,buyer_9,0.9,0.3,0.274067,0.034017,"[-0.01875, -0.019949, -0.019076]",0.036241,0.7248
9,9,buyer_10,0.9,0.3,0.516866,0.033945,"[-0.018033, -0.019931, -0.019083]",0.036899,0.738
10,10,buyer_11,0.9,0.3,0.46514,0.034921,"[-0.01871, -0.019956, -0.018792]",0.037463,0.7493
11,11,buyer_12,0.9,1.2268,0.762968,0.368838,"[0.020014, -0.019998, 0.013155]",0.442009,0.9822
12,12,buyer_13,1.1,0.3,0.612096,0.027028,"[-0.019694, -0.019984, -0.019619]",0.027731,0.6779
13,13,buyer_14,1.1,1.1228,0.562588,0.450802,"[0.023317, -0.019998, 0.026112]",0.540233,0.9822
14,14,buyer_15,1.1,0.3,0.506882,0.02766,"[-0.019283, -0.019881, -0.018979]",0.029517,0.7215
15,15,buyer_16,1.1,0.3,0.348798,0.027499,"[-0.01888, -0.019983, -0.019295]",0.02934,0.7172
16,16,buyer_17,1.1,0.3,0.585942,0.027877,"[-0.018978, -0.019918, -0.019522]",0.029459,0.7201
17,17,buyer_18,1.1,0.3,0.231385,0.027663,"[-0.019248, -0.019798, -0.019303]",0.029314,0.7166
18,18,buyer_19,1.1,1.1276,0.567371,0.450803,"[0.020522, -0.019998, 0.028906]",0.540233,0.9822
19,19,buyer_20,1.1,0.3,0.629836,0.027492,"[-0.019525, -0.019766, -0.019275]",0.028926,0.7071
20,20,buyer_21,1.1,0.8,0.637325,0.212055,"[-0.007342, -0.019951, -0.003093]",0.24167,0.8307
21,21,buyer_22,1.1,0.3,0.434849,0.027386,"[-0.019563, -0.019966, -0.018866]",0.028991,0.7087
22,22,buyer_23,1.1,1.2707,0.707896,0.450803,"[0.02192, -0.019998, 0.027509]",0.540234,0.9822
23,23,buyer_24,1.1,1.1931,0.631698,0.450802,"[0.020522, -0.019998, 0.028906]",0.540233,0.9822
24,24,buyer_25,1.15,0.9,0.602985,0.262262,"[-0.005109, -0.019942, -0.004795]",0.292416,0.8303
