step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.6,0.7389,0.431083,0.245892,"[0.002865, -0.019999, 0.005914]",0.294672,0.9822
2,2,buyer_3,0.7,1.1586,0.794236,0.286874,"[0.004009, -0.019999, 0.0129]",0.343785,0.9822
3,3,buyer_4,0.8,0.9974,0.586756,0.327857,"[0.016585, -0.019998, 0.008455]",0.392898,0.9822
4,4,buyer_5,0.85,0.3942,0.237014,0.064414,"[-0.015858, -0.019916, -0.017094]",0.071545,0.7828
5,5,buyer_6,0.8,1.2756,0.86007,0.327857,"[0.018617, -0.019999, 0.006422]",0.392897,0.9822
6,6,buyer_7,0.8,1.0611,0.649396,0.327857,"[0.006422, -0.019999, 0.018617]",0.392898,0.9822
7,7,buyer_8,0.8,1.0861,0.673878,0.327857,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
8,8,buyer_9,0.8,0.4281,0.25143,0.083514,"[-0.015365, -0.019939, -0.016358]",0.091852,0.8018
9,9,buyer_10,0.8,0.7504,0.381835,0.284843,"[0.010305, -0.019923, 0.002016]",0.33724,0.9583
10,10,buyer_11,0.8,0.6708,0.35217,0.219158,"[-0.004683, -0.019953, -0.000287]",0.254234,0.904
11,11,buyer_12,0.8,1.2268,0.812078,0.327858,"[0.011503, -0.019999, 0.013536]",0.392899,0.9822
12,12,buyer_13,0.8,0.9439,0.534205,0.327856,"[0.007438, -0.019999, 0.017601]",0.392897,0.9822
13,13,buyer_14,0.8,1.1228,0.709922,0.327858,"[0.01252, -0.019999, 0.01252]",0.392898,0.9822
14,14,buyer_15,0.8,0.7434,0.381785,0.280493,"[0.007694, -0.019983, 0.00314]",0.331344,0.9593
15,15,buyer_16,0.8,0.5272,0.29451,0.12933,"[-0.012959, -0.019917, -0.011709]",0.144745,0.8331
16,16,buyer_17,0.8,0.8546,0.44651,0.327857,"[0.015568, -0.019999, 0.009471]",0.392897,0.9822
17,17,buyer_18,0.8,0.3638,0.215603,0.057888,"[-0.017016, -0.019854, -0.017564]",0.063454,0.767
18,18,buyer_19,0.8,1.1276,0.714707,0.327856,"[0.011503, -0.019999, 0.013536]",0.392897,0.9822
19,19,buyer_20,0.8,0.9317,0.522221,0.327856,"[0.015568, -0.019999, 0.009471]",0.392896,0.9822
20,20,buyer_21,0.8,1.0581,0.646398,0.327857,"[0.018617, -0.019999, 0.006422]",0.392897,0.9822
21,21,buyer_22,0.8,0.6545,0.351275,0.209719,"[-0.002571, -0.019678, -0.004292]",0.243178,0.9082
22,22,buyer_23,0.8,1.2707,0.85523,0.327859,"[0.013536, -0.019999, 0.011503]",0.3929,0.9822
23,23,buyer_24,0.8,1.1931,0.779035,0.327856,"[0.012519, -0.019998, 0.012519]",0.392896,0.9822
24,24,buyer_25,0.8,1.0784,0.666333,0.327857,"[0.014552, -0.019999, 0.010487]",0.392897,0.9822
25,25,buyer_26,0.8,0.4946,0.283918,0.112893,"[-0.013101, -0.019766, -0.012976]",0.127051,0.8308
26,26,buyer_27,0.8,0.7667,0.38746,0.299516,"[0.01175, -0.019978, 0.005223]",0.356512,0.9703
27,27,buyer_28,0.8,0.3438,0.205101,0.051238,"[-0.017031, -0.019936, -0.018137]",0.056133,0.7598
28,28,buyer_29,0.8,0.4543,0.261705,0.093253,"[-0.013675, -0.019939, -0.015869]",0.103769,0.8045
29,29,buyer_30,0.8,0.983,0.572691,0.327857,"[0.021666, -0.019999, 0.003373]",0.392898,0.9822
30,30,buyer_31,0.8,1.0448,0.633309,0.327857,"[0.005406, -0.019998, 0.019633]",0.392898,0.9822
31,31,buyer_32,0.8,1.2675,0.852101,0.327856,"[0.001341, -0.019999, 0.023698]",0.392897,0.9822
32,32,buyer_33,0.8,0.6258,0.336013,0.188685,"[-0.005901, -0.019872, -0.007052]",0.21586,0.8818
33,33,buyer_34,0.8,0.6705,0.353781,0.220408,"[0.002553, -0.019925, -0.007861]",0.255175,0.9083
34,34,buyer_35,0.8,0.7696,0.388489,0.30216,"[0.014443, -0.019952, 0.003355]",0.360005,0.9726
35,35,buyer_36,0.8,0.4895,0.274885,0.108009,"[-0.013723, -0.019933, -0.013197]",0.121157,0.8091
36,36,buyer_37,0.8,0.4299,0.249555,0.082088,"[-0.015309, -0.01994, -0.015146]",0.091694,0.7937
37,37,buyer_38,0.8,0.7757,0.388925,0.307057,"[0.007961, -0.019949, 0.010931]",0.365999,0.9732
38,38,buyer_39,0.8,0.5269,0.29577,0.128386,"[-0.011453, -0.019966, -0.011738]",0.145229,0.837
39,39,buyer_40,0.8,0.9698,0.559692,0.327857,"[0.013536, -0.019998, 0.011503]",0.392898,0.9822
40,40,buyer_41,0.8,0.7372,0.376739,0.27313,"[0.004934, -0.019996, 0.003789]",0.321857,0.9477
41,41,buyer_42,0.8,1.1327,0.719664,0.327857,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
42,42,buyer_43,0.8,1.0003,0.589604,0.327856,"[0.009471, -0.019999, 0.015568]",0.392896,0.9822
43,43,buyer_44,0.8,0.6124,0.332729,0.181022,"[-0.006877, -0.019813, -0.008029]",0.206303,0.8802
44,44,buyer_45,0.8,1.1323,0.719253,0.327857,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
45,45,buyer_46,0.8,1.1048,0.692245,0.327858,"[0.01252, -0.019999, 0.01252]",0.392898,0.9822
46,46,buyer_47,0.8,0.6875,0.361777,0.234956,"[0.003007, -0.019893, -0.005514]",0.272557,0.9227
47,47,buyer_48,0.8,0.5883,0.324159,0.164802,"[-0.005845, -0.019786, -0.01066]",0.188512,0.8714
48,48,buyer_49,0.8,0.9825,0.572148,0.327857,"[0.01252, -0.019999, 0.01252]",0.392898,0.9822
49,49,buyer_50,0.8,0.4398,0.252559,0.085656,"[-0.01565, -0.019961, -0.014321]",0.095724,0.792
