step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.5,0.520024,0.087438,"[-0.01358, -0.019946, -0.014034]",0.099878,0.839
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.5,0.720716,0.08257,"[-0.015421, -0.019947, -0.014527]",0.092675,0.8155
4,4,buyer_5,1.1,0.3,0.274032,0.028771,"[-0.018402, -0.019827, -0.018809]",0.031733,0.7757
5,5,buyer_6,1.1,1.2756,0.712734,0.450802,"[0.023317, -0.019998, 0.026112]",0.540233,0.9822
6,6,buyer_7,1.15,0.8,0.689005,0.214559,"[-0.004509, -0.019786, -0.00537]",0.244895,0.8801
7,7,buyer_8,1.15,0.9,0.670897,0.277585,"[0.001056, -0.019827, 0.003131]",0.321945,0.9142
8,8,buyer_9,1.1,0.3,0.302499,0.028965,"[-0.018425, -0.019951, -0.018629]",0.03196,0.7812
9,9,buyer_10,1.1,0.3,0.563041,0.028786,"[-0.017695, -0.019919, -0.018706]",0.032465,0.7936
10,10,buyer_11,1.05,0.3,0.504025,0.031212,"[-0.018334, -0.019967, -0.018511]",0.0344,0.8027
11,11,buyer_12,1.05,1.2268,0.689299,0.430312,"[0.026683, -0.019998, 0.01868]",0.515678,0.9822
12,12,buyer_13,1.15,0.8,0.579065,0.212568,"[-0.003999, -0.019883, -0.006604]",0.242083,0.87
13,13,buyer_14,1.1,1.1228,0.562588,0.450802,"[0.023317, -0.019998, 0.026112]",0.540233,0.9822
14,14,buyer_15,1.1,0.7,0.466551,0.171049,"[-0.007491, -0.019862, -0.004125]",0.19957,0.896
15,15,buyer_16,1.1,0.5,0.350656,0.084611,"[-0.013888, -0.019866, -0.014515]",0.096342,0.8478
16,16,buyer_17,1.1,0.8,0.51223,0.23033,"[-0.003909, -0.019718, -0.002345]",0.264358,0.9087
17,17,buyer_18,1.1,0.3,0.254264,0.02919,"[-0.018499, -0.019885, -0.018593]",0.032213,0.7874
18,18,buyer_19,1.1,1.1276,0.567371,0.450803,"[0.020522, -0.019998, 0.028906]",0.540233,0.9822
19,19,buyer_20,1.1,0.8,0.574034,0.227588,"[-0.005207, -0.019839, -0.001925]",0.260617,0.8959
20,20,buyer_21,1.1,0.8,0.695808,0.226814,"[-0.003894, -0.019932, 0.000857]",0.263846,0.907
21,21,buyer_22,0.9,0.5,0.451398,0.105354,"[-0.011908, -0.019937, -0.011923]",0.121586,0.8754
22,22,buyer_23,0.8,1.2707,0.85523,0.327859,"[0.010487, -0.019998, 0.014552]",0.3929,0.9822
23,23,buyer_24,1.1,1.1931,0.631698,0.450802,"[0.020522, -0.019998, 0.028906]",0.540233,0.9822
