step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.55,0.7389,0.455639,0.225402,"[0.00096, -0.019999, 0.003755]",0.270117,0.9822
2,2,buyer_3,0.55,1.1586,0.867904,0.225401,"[-0.001136, -0.019999, 0.00585]",0.270117,0.9822
3,3,buyer_4,0.6,0.9974,0.684979,0.245894,"[0.007439, -0.019999, 0.001341]",0.294675,0.9822
4,4,buyer_5,0.65,0.3942,0.251998,0.093996,"[-0.011825, -0.019944, -0.01255]",0.109678,0.9175
5,5,buyer_6,0.6,1.2756,0.958294,0.245893,"[0.008963, -0.019999, -0.000183]",0.294673,0.9822
6,6,buyer_7,0.6,1.0611,0.747619,0.245893,"[-0.000183, -0.019999, 0.008963]",0.294674,0.9822
7,7,buyer_8,0.6,1.0861,0.772102,0.245893,"[0.005152, -0.019999, 0.003628]",0.294673,0.9822
8,8,buyer_9,0.6,0.4281,0.25912,0.123276,"[-0.010233, -0.019887, -0.009454]",0.143703,0.9409
9,9,buyer_10,0.55,0.7504,0.466942,0.225401,"[0.003056, -0.019999, 0.001658]",0.270117,0.9822
10,10,buyer_11,0.55,0.6708,0.388768,0.225401,"[0.005152, -0.019999, -0.000438]",0.270116,0.9822
11,11,buyer_12,0.55,1.2268,0.934857,0.225405,"[0.003755, -0.019999, 0.00096]",0.27012,0.9822
12,12,buyer_13,0.55,0.9439,0.656983,0.225403,"[0.005152, -0.019999, -0.000437]",0.270119,0.9822
13,13,buyer_14,0.55,1.1228,0.832703,0.225402,"[-0.000437, -0.019999, 0.005152]",0.270117,0.9822
14,14,buyer_15,0.55,0.7434,0.460093,0.225402,"[0.002357, -0.019999, 0.002357]",0.270118,0.9822
15,15,buyer_16,0.55,0.5272,0.269139,0.206933,"[-0.005478, -0.019994, 0.006217]",0.247678,0.9802
16,16,buyer_17,0.55,0.8546,0.56929,0.225402,"[0.00096, -0.019999, 0.003755]",0.270117,0.9822
17,17,buyer_18,0.55,0.3638,0.228161,0.096248,"[-0.011745, -0.019996, -0.011767]",0.11274,0.937
18,18,buyer_19,0.55,1.1276,0.837484,0.225404,"[0.00096, -0.019999, 0.003755]",0.27012,0.9822
19,19,buyer_20,0.55,0.9317,0.644999,0.225403,"[0.004453, -0.019999, 0.000261]",0.270119,0.9822
20,20,buyer_21,0.55,1.0581,0.769176,0.225404,"[0.000261, -0.019999, 0.004453]",0.27012,0.9822
21,21,buyer_22,0.55,0.6545,0.372784,0.225402,"[0.005152, -0.019999, -0.000437]",0.270117,0.9822
22,22,buyer_23,0.55,1.2707,0.978009,0.225405,"[-0.001136, -0.019999, 0.005851]",0.270121,0.9822
23,23,buyer_24,0.55,1.1931,0.90181,0.225405,"[0.004454, -0.019999, 0.000261]",0.270121,0.9822
24,24,buyer_25,0.55,1.0784,0.789114,0.225401,"[0.004453, -0.019999, 0.000261]",0.270117,0.9822
25,25,buyer_26,0.55,0.4946,0.265027,0.181675,"[3e-06, -0.019996, -0.005191]",0.216491,0.9735
26,26,buyer_27,0.55,0.7667,0.482987,0.225401,"[0.00096, -0.019999, 0.003754]",0.270116,0.9822
27,27,buyer_28,0.55,0.3438,0.223601,0.086345,"[-0.012949, -0.019965, -0.011776]",0.101657,0.9461
28,28,buyer_29,0.55,0.4543,0.258577,0.153233,"[-0.006017, -0.019878, -0.005402]",0.181936,0.9697
29,29,buyer_30,0.55,0.983,0.695471,0.225403,"[-0.004629, -0.019999, 0.009344]",0.270119,0.9822
30,30,buyer_31,0.55,1.0448,0.756088,0.225403,"[-0.003232, -0.019999, 0.007947]",0.270119,0.9822
31,31,buyer_32,0.55,1.2675,0.974877,0.225405,"[0.003755, -0.019999, 0.00096]",0.270121,0.9822
32,32,buyer_33,0.55,0.6258,0.344594,0.225401,"[-0.001835, -0.019999, 0.006549]",0.270116,0.9822
33,33,buyer_34,0.55,0.6705,0.388435,0.225401,"[0.005152, -0.019999, -0.000438]",0.270117,0.9822
34,34,buyer_35,0.55,0.7696,0.485771,0.225402,"[0.005152, -0.019999, -0.000437]",0.270117,0.9822
35,35,buyer_36,0.55,0.4895,0.264422,0.177823,"[-0.00231, -0.019989, -0.003486]",0.212037,0.9734
36,36,buyer_37,0.55,0.4299,0.248741,0.135629,"[-0.010049, -0.019992, -0.006023]",0.159566,0.9497
37,37,buyer_38,0.55,0.7757,0.491811,0.225402,"[0.00096, -0.019999, 0.003755]",0.270117,0.9822
38,38,buyer_39,0.55,0.5269,0.269182,0.206698,"[-0.004561, -0.019996, 0.005334]",0.247474,0.9805
39,39,buyer_40,0.5,0.9698,0.707026,0.204913,"[-0.005391, -0.019999, 0.006041]",0.245563,0.9822
40,40,buyer_41,0.5,0.7372,0.478499,0.20491,"[0.002865, -0.019999, -0.002216]",0.24556,0.9822
41,41,buyer_42,0.5,1.1327,0.866997,0.204914,"[-0.002216, -0.019999, 0.002866]",0.245565,0.9822
42,42,buyer_43,0.5,1.0003,0.736936,0.204913,"[0.00223, -0.019999, -0.001581]",0.245564,0.9822
43,43,buyer_44,0.5,0.6124,0.35593,0.20491,"[-0.002851, -0.019999, 0.0035]",0.245561,0.9822
44,44,buyer_45,0.5,1.1323,0.866586,0.204914,"[-0.000945, -0.019999, 0.001595]",0.245564,0.9822
45,45,buyer_46,0.5,1.1048,0.839579,0.204913,"[0.001595, -0.019999, -0.000945]",0.245564,0.9822
46,46,buyer_47,0.5,0.6875,0.429707,0.204911,"[0.004771, -0.019999, -0.004121]",0.245562,0.9822
47,47,buyer_48,0.5,0.5883,0.332318,0.204911,"[0.0035, -0.019999, -0.002851]",0.245561,0.9822
48,48,buyer_49,0.5,0.9825,0.719483,0.204912,"[-0.005391, -0.019999, 0.006041]",0.245562,0.9822
49,49,buyer_50,0.5,0.2,0.362535,0.031012,"[-0.017492, -0.019963, -0.017282]",0.036276,0.9069
