step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.7,0.450607,0.179081,"[-0.00443, -0.019953, -0.006722]",0.207977,0.8913
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.9,0.583652,0.291728,"[0.000542, -0.019999, 0.009266]",0.341537,0.9276
4,4,buyer_5,1.05,0.4,0.255832,0.054761,"[-0.016581, -0.019708, -0.017174]",0.061298,0.8045
5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
6,6,buyer_7,1.1,0.95,0.613219,0.330243,"[0.009359, -0.019929, 0.006798]",0.386472,0.9421
7,7,buyer_8,1.05,1.0861,0.551097,0.430312,"[0.021348, -0.019998, 0.024016]",0.515678,0.9822
8,8,buyer_9,1.1,0.4,0.27866,0.051746,"[-0.017674, -0.019974, -0.017072]",0.057026,0.7841
9,9,buyer_10,1.1,0.7,0.459775,0.170288,"[-0.009181, -0.019897, -0.007138]",0.194073,0.8714
10,10,buyer_11,1.05,0.6,0.426821,0.130959,"[-0.012368, -0.019916, -0.012151]",0.146523,0.8547
11,11,buyer_12,1.05,1.2268,0.689299,0.430312,"[0.020014, -0.019998, 0.025349]",0.515678,0.9822
12,12,buyer_13,1.1,0.85,0.564723,0.258507,"[0.005323, -0.019969, -0.002524]",0.301338,0.9176
13,13,buyer_14,1.05,1.1228,0.587143,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
14,14,buyer_15,1.1,0.7434,0.435141,0.19213,"[-0.004995, -0.019964, -0.005096]",0.222075,0.8841
15,15,buyer_16,1.1,0.5272,0.32914,0.092033,"[-0.015181, -0.019986, -0.013145]",0.103722,0.821
16,16,buyer_17,1.1,0.8546,0.476787,0.260197,"[-0.004091, -0.019987, 0.006746]",0.302864,0.9123
17,17,buyer_18,1.05,0.3638,0.236935,0.044726,"[-0.018379, -0.019901, -0.016802]",0.049644,0.7877
18,18,buyer_19,1.05,1.1276,0.591926,0.430312,"[0.033352, -0.019998, 0.012011]",0.515678,0.9822
19,19,buyer_20,1.1,0.9317,0.501882,0.315858,"[0.011826, -0.019868, 0.000893]",0.36871,0.9344
20,20,buyer_21,1.05,1.0581,0.523619,0.430311,"[0.01868, -0.019998, 0.026683]",0.515676,0.9822
21,21,buyer_22,1.05,0.6545,0.392416,0.155939,"[-0.008977, -0.01988, -0.009412]",0.17767,0.871
22,22,buyer_23,1.05,1.2707,0.732452,0.430312,"[0.033352, -0.019998, 0.012011]",0.515678,0.9822
23,23,buyer_24,1.05,1.1931,0.656252,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
24,24,buyer_25,1.1,1.0784,0.538982,0.432825,"[0.024208, -0.019997, 0.021201]",0.518237,0.9804
25,25,buyer_26,1.1,0.4946,0.314551,0.080883,"[-0.01395, -0.019976, -0.01574]",0.091217,0.8203
26,26,buyer_27,1.1,0.7667,0.444698,0.205964,"[-0.00314, -0.019842, -0.005114]",0.237868,0.8902
27,27,buyer_28,1.05,0.3438,0.233003,0.040764,"[-0.017631, -0.019985, -0.017536]",0.045613,0.8104
28,28,buyer_29,1.05,0.4543,0.296624,0.072299,"[-0.015751, -0.01982, -0.014841]",0.081886,0.8332
29,29,buyer_30,1.05,0.983,0.508221,0.375264,"[0.015042, -0.019999, 0.016904]",0.447211,0.9719
30,30,buyer_31,1.05,1.0448,0.515964,0.42623,"[0.01839, -0.019984, 0.026279]",0.510916,0.9829
31,31,buyer_32,1.05,1.2675,0.72932,0.430312,"[0.024016, -0.019999, 0.021348]",0.515678,0.9822
32,32,buyer_33,1.05,0.6258,0.382374,0.141049,"[-0.01, -0.019929, -0.008811]",0.162309,0.8703
33,33,buyer_34,1.05,0.6705,0.408643,0.164877,"[-0.007103, -0.01998, -0.006105]",0.191689,0.8954
34,34,buyer_35,1.05,0.7696,0.441707,0.221713,"[-0.003544, -0.019931, -0.002699]",0.255538,0.906
35,35,buyer_36,1.05,0.4895,0.307172,0.084092,"[-0.015881, -0.019932, -0.014909]",0.09337,0.8183
36,36,buyer_37,1.05,0.4299,0.274046,0.063837,"[-0.016463, -0.019966, -0.01687]",0.070538,0.8015
37,37,buyer_38,1.05,0.7757,0.441276,0.223329,"[-0.005406, -0.019987, 0.000537]",0.258472,0.9021
38,38,buyer_39,1.05,0.5269,0.334731,0.097718,"[-0.011521, -0.019896, -0.014187]",0.112113,0.848
39,39,buyer_40,1.05,0.9698,0.505965,0.364689,"[0.019858, -0.019968, 0.009567]",0.434146,0.9694
40,40,buyer_41,1.05,0.7372,0.428201,0.199644,"[-0.005521, -0.019987, -0.00248]",0.231657,0.8951
41,41,buyer_42,1.0,0.85,0.730755,0.290969,"[0.008226, -0.019901, 0.002909]",0.342203,0.9473
42,42,buyer_43,0.95,1.0003,0.515935,0.38933,"[0.027064, -0.019998, 0.01017]",0.466565,0.9822
43,43,buyer_44,1.0,0.6124,0.369722,0.142281,"[-0.00745, -0.019953, -0.011693]",0.163185,0.8702
44,44,buyer_45,1.0,1.1323,0.621029,0.409821,"[0.014298, -0.019998, 0.027001]",0.491121,0.9822
45,45,buyer_46,1.0,1.1048,0.594022,0.409821,"[0.018109, -0.019998, 0.02319]",0.491121,0.9822
46,46,buyer_47,1.0,0.6875,0.405404,0.183262,"[-0.004004, -0.019838, -0.007055]",0.212364,0.8986
47,47,buyer_48,1.0,0.5883,0.369618,0.132619,"[-0.010894, -0.019913, -0.007791]",0.154021,0.89
48,48,buyer_49,1.0,0.9825,0.490622,0.395566,"[0.024909, -0.019988, 0.013262]",0.47375,0.9816
49,49,buyer_50,1.0,0.4398,0.288644,0.072976,"[-0.016028, -0.019908, -0.015663]",0.081376,0.8414
