step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.7,0.7389,0.38197,0.286875,"[0.006676, -0.019999, 0.010233]",0.343785,0.9822
2,2,buyer_3,0.75,1.1586,0.76968,0.307365,"[0.005723, -0.019999, 0.015251]",0.368341,0.9822
3,3,buyer_4,0.8,0.9974,0.586756,0.327857,"[0.016585, -0.019998, 0.008455]",0.392898,0.9822
4,4,buyer_5,0.8,0.3942,0.260765,0.073936,"[-0.013919, -0.019929, -0.014845]",0.085243,0.8778
5,5,buyer_6,0.7,1.2756,0.909182,0.286875,"[0.01379, -0.019999, 0.003119]",0.343785,0.9822
6,6,buyer_7,0.75,1.0611,0.673951,0.307366,"[0.004771, -0.019999, 0.016203]",0.368342,0.9822
7,7,buyer_8,0.75,1.0861,0.698434,0.307365,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
8,8,buyer_9,0.8,0.4281,0.276516,0.089025,"[-0.014093, -0.019924, -0.013991]",0.101017,0.8819
9,9,buyer_10,0.75,0.7504,0.368718,0.307365,"[0.01144, -0.019999, 0.009534]",0.36834,0.9822
10,10,buyer_11,0.75,0.6708,0.358711,0.244656,"[0.002791, -0.019959, 0.002698]",0.290186,0.9674
11,11,buyer_12,0.7,1.2268,0.861189,0.286877,"[0.009344, -0.019999, 0.007566]",0.343788,0.9822
12,12,buyer_13,0.75,0.9439,0.55876,0.307366,"[0.005723, -0.019999, 0.015251]",0.368342,0.9822
13,13,buyer_14,0.75,1.1228,0.734478,0.307367,"[0.01144, -0.019999, 0.009534]",0.368343,0.9822
14,14,buyer_15,0.75,0.7434,0.368205,0.301998,"[0.011797, -0.019997, 0.007997]",0.361794,0.982
15,15,buyer_16,0.75,0.5272,0.314483,0.146631,"[-0.006908, -0.019956, -0.009317]",0.170451,0.9198
16,16,buyer_17,0.75,0.8546,0.471066,0.307366,"[0.008582, -0.019999, 0.012392]",0.368341,0.9822
17,17,buyer_18,0.75,0.3638,0.239194,0.067052,"[-0.015398, -0.019926, -0.015136]",0.076592,0.868
18,18,buyer_19,0.75,1.1276,0.739261,0.307367,"[0.012393, -0.019999, 0.008582]",0.368343,0.9822
