step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.75,1.07,0.68654,0.307366,"[0.017156, -0.019999, 0.003818]",0.368342,0.9822
1,1,buyer_2,0.8,0.7,0.417501,0.248701,"[0.005544, -0.019997, 0.001293]",0.295542,0.965
2,2,buyer_3,0.75,1.15,0.769678,0.307367,"[0.01144, -0.019999, 0.009534]",0.368343,0.9822
3,3,buyer_4,0.8,0.95,0.586757,0.327857,"[0.011503, -0.019999, 0.013536]",0.392897,0.9822
4,4,buyer_5,0.8,0.35,0.270041,0.057122,"[-0.015489, -0.019982, -0.016557]",0.065095,0.8502
5,5,buyer_6,0.75,1.27,0.884623,0.307368,"[0.008582, -0.019999, 0.012393]",0.368344,0.9822
6,6,buyer_7,0.75,0.85,0.673953,0.307365,"[0.008582, -0.019999, 0.012392]",0.36834,0.9822
7,7,buyer_8,0.8,1.05,0.673877,0.327857,"[0.011503, -0.019999, 0.013536]",0.392898,0.9822
8,8,buyer_9,0.8,0.38,0.28938,0.068748,"[-0.015169, -0.019905, -0.016375]",0.077299,0.8565
9,9,buyer_10,0.75,0.75,0.368719,0.307365,"[0.013345, -0.019999, 0.007629]",0.36834,0.9822
10,10,buyer_11,0.75,0.55,0.438253,0.161056,"[-0.006468, -0.019952, -0.006242]",0.188393,0.9342
11,11,buyer_12,0.75,1.22,0.836634,0.307367,"[0.01144, -0.019999, 0.009534]",0.368343,0.9822
12,12,buyer_13,0.75,0.82,0.558761,0.307366,"[0.003818, -0.019999, 0.017156]",0.368341,0.9822
13,13,buyer_14,0.75,1.12,0.734479,0.307367,"[0.009534, -0.019999, 0.01144]",0.368342,0.9822
14,14,buyer_15,0.75,0.72,0.3897,0.282968,"[0.008643, -0.019995, 0.006936]",0.338551,0.9796
15,15,buyer_16,0.75,0.45,0.34651,0.10389,"[-0.011905, -0.01999, -0.012734]",0.119261,0.8834
16,16,buyer_17,0.75,0.82,0.471066,0.307366,"[0.004771, -0.019999, 0.016203]",0.368341,0.9822
17,17,buyer_18,0.75,0.35,0.248657,0.063021,"[-0.015759, -0.019883, -0.015407]",0.071972,0.8813
18,18,buyer_19,0.75,1.12,0.739262,0.307367,"[0.009534, -0.019999, 0.01144]",0.368342,0.9822
19,19,buyer_20,0.75,0.93,0.546776,0.307366,"[0.012393, -0.019999, 0.008582]",0.368342,0.9822
20,20,buyer_21,0.75,1.05,0.670954,0.307366,"[0.014298, -0.019999, 0.006676]",0.368341,0.9822
21,21,buyer_22,0.75,0.55,0.423861,0.161717,"[-0.006181, -0.019919, -0.006863]",0.188753,0.936
22,22,buyer_23,0.75,1.1,0.879788,0.307366,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
23,23,buyer_24,0.7,1.15,0.828144,0.286876,"[0.009344, -0.019999, 0.007565]",0.343786,0.9822
24,24,buyer_25,0.7,1.08,0.715444,0.286876,"[0.011122, -0.019999, 0.005787]",0.343786,0.9822
25,25,buyer_26,0.7,0.35,0.358165,0.066634,"[-0.014751, -0.019834, -0.015074]",0.076975,0.8797
26,26,buyer_27,0.7,0.75,0.40932,0.286874,"[0.005787, -0.019999, 0.011122]",0.343784,0.9822
27,27,buyer_28,0.7,0.25,0.256249,0.033736,"[-0.017643, -0.01994, -0.017914]",0.038239,0.8566
28,28,buyer_29,0.7,0.35,0.323821,0.067415,"[-0.015014, -0.019955, -0.015196]",0.07725,0.8829
29,29,buyer_30,0.7,0.95,0.621805,0.286874,"[0.007565, -0.019999, 0.009344]",0.343785,0.9822
30,30,buyer_31,0.7,1.0,0.68242,0.286876,"[0.006676, -0.019999, 0.010233]",0.343787,0.9822
31,31,buyer_32,0.75,1.25,0.876658,0.307365,"[0.01144, -0.019999, 0.009534]",0.36834,0.9822
32,32,buyer_33,0.75,0.45,0.435209,0.104246,"[-0.012299, -0.019981, -0.012263]",0.119703,0.8867
33,33,buyer_34,0.7,0.6,0.397756,0.208507,"[-0.002483, -0.01997, 0.001408]",0.247462,0.9624
