step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.68,0.459398,0.168198,"[-0.005595, -0.01995, -0.007632]",0.195021,0.8857
2,2,buyer_3,1.05,1.12,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515676,0.9822
3,3,buyer_4,1.1,0.95,0.554571,0.328958,"[0.003657, -0.019997, 0.014853]",0.387471,0.9445
4,4,buyer_5,1.05,0.25,0.282679,0.020931,"[-0.018837, -0.019874, -0.019133]",0.023086,0.7757
5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
6,6,buyer_7,1.1,1.06,0.537434,0.418123,"[0.022575, -0.019993, 0.017981]",0.498685,0.9764
7,7,buyer_8,1.1,1.08,0.545573,0.434601,"[0.020541, -0.019993, 0.025199]",0.520349,0.9815
8,8,buyer_9,1.1,0.21,0.312419,0.01403,"[-0.019297, -0.019976, -0.01941]",0.015347,0.7656
9,9,buyer_10,1.1,0.22,0.568124,0.015333,"[-0.01884, -0.019959, -0.019375]",0.017159,0.78
10,10,buyer_11,1.1,0.23,0.507667,0.017269,"[-0.019168, -0.019981, -0.019245]",0.018874,0.7849
11,11,buyer_12,1.1,1.22,0.664744,0.450802,"[0.028906, -0.019998, 0.020522]",0.540232,0.9822
12,12,buyer_13,1.1,0.94,0.508786,0.322141,"[0.009111, -0.019848, 0.005462]",0.376865,0.9383
13,13,buyer_14,1.1,1.1228,0.562588,0.450802,"[0.023317, -0.019998, 0.026112]",0.540233,0.9822
14,14,buyer_15,1.1,0.24,0.575329,0.018411,"[-0.018906, -0.019963, -0.01854]",0.021002,0.8022
15,15,buyer_16,1.1,0.25,0.398992,0.020293,"[-0.018664, -0.01998, -0.018926]",0.022723,0.7999
16,16,buyer_17,1.1,0.26,0.651495,0.022178,"[-0.018826, -0.019967, -0.019086]",0.024299,0.7908
17,17,buyer_18,1.1,0.27,0.258917,0.023559,"[-0.01882, -0.019903, -0.018891]",0.025945,0.783
18,18,buyer_19,1.1,1.1276,0.567371,0.450803,"[0.020522, -0.019998, 0.028906]",0.540233,0.9822
19,19,buyer_20,1.1,0.85,0.549768,0.259806,"[-0.002262, -0.019864, 0.001611]",0.299291,0.9113
20,20,buyer_21,1.1,1.05,0.543113,0.409727,"[0.012556, -0.019967, 0.026369]",0.488685,0.9752
