step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.85,1.074,0.637429,0.348348,"[0.02211, -0.019998, 0.006994]",0.417453,0.9822
1,1,buyer_2,0.95,0.7389,0.420924,0.228019,"[0.001731, -0.019981, -0.001914]",0.267855,0.9322
2,2,buyer_3,0.75,1.1586,0.76968,0.307365,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
3,3,buyer_4,0.8,0.9974,0.586756,0.327858,"[0.011503, -0.019999, 0.013536]",0.392898,0.9822
4,4,buyer_5,0.85,0.3942,0.256941,0.068095,"[-0.014636, -0.019979, -0.01592]",0.07756,0.8486
5,5,buyer_6,0.75,1.2756,0.884626,0.307366,"[0.008582, -0.019999, 0.012392]",0.368341,0.9822
6,6,buyer_7,0.75,1.0611,0.673951,0.307366,"[0.008582, -0.019999, 0.012393]",0.368342,0.9822
7,7,buyer_8,0.75,1.0861,0.698434,0.307365,"[0.009534, -0.019999, 0.01144]",0.368341,0.9822
8,8,buyer_9,0.75,0.4281,0.271068,0.09509,"[-0.012664, -0.019874, -0.014288]",0.108265,0.8861
9,9,buyer_10,0.75,0.7504,0.368718,0.307365,"[0.013345, -0.019999, 0.007629]",0.36834,0.9822
10,10,buyer_11,0.75,0.6708,0.359744,0.244785,"[0.002703, -0.01998, 0.003513]",0.291022,0.9701
11,11,buyer_12,0.75,1.2268,0.836636,0.307366,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
12,12,buyer_13,0.75,0.9439,0.55876,0.307366,"[0.003818, -0.019999, 0.017156]",0.368342,0.9822
13,13,buyer_14,0.75,1.1228,0.734478,0.307367,"[0.009534, -0.019999, 0.01144]",0.368343,0.9822
14,14,buyer_15,0.75,0.7434,0.368262,0.301946,"[0.010897, -0.019998, 0.009006]",0.36185,0.9821
15,15,buyer_16,0.75,0.5272,0.311587,0.145608,"[-0.007802, -0.019992, -0.008933]",0.168881,0.9113
16,16,buyer_17,0.75,0.8546,0.471066,0.307366,"[0.004771, -0.019999, 0.016203]",0.368341,0.9822
17,17,buyer_18,0.75,0.3638,0.243773,0.06827,"[-0.015342, -0.019876, -0.014994]",0.078059,0.8846
18,18,buyer_19,0.75,1.1276,0.739261,0.307367,"[0.009534, -0.019999, 0.01144]",0.368343,0.9822
19,19,buyer_20,0.75,0.9317,0.546776,0.307366,"[0.012393, -0.019999, 0.008582]",0.368342,0.9822
20,20,buyer_21,0.75,1.0581,0.670954,0.307366,"[0.014298, -0.019999, 0.006676]",0.368342,0.9822
21,21,buyer_22,0.75,0.6545,0.356134,0.233007,"[0.001322, -0.01996, 0.001334]",0.275702,0.9653
