mode,step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
all_rule,0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
all_rule,1,1,buyer_2,1.05,0.7389,0.432214,0.201381,"[-0.001983, -0.019959, -0.004815]",0.234625,0.9025
all_rule,2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
all_rule,3,3,buyer_4,1.1,0.9974,0.52362,0.36629,"[0.006983, -0.019992, 0.020968]",0.434249,0.9604
all_rule,4,4,buyer_5,1.05,0.3942,0.257207,0.053127,"[-0.016697, -0.019715, -0.01728]",0.059435,0.8033
all_rule,5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
all_rule,6,6,buyer_7,1.1,1.0611,0.536513,0.419063,"[0.022725, -0.019994, 0.018104]",0.499899,0.9767
all_rule,7,7,buyer_8,1.05,1.0861,0.551097,0.430312,"[0.021348, -0.019998, 0.024016]",0.515678,0.9822
all_rule,8,8,buyer_9,1.1,0.4281,0.272536,0.059564,"[-0.017222, -0.019969, -0.016525]",0.065849,0.7904
all_rule,9,9,buyer_10,1.1,0.7504,0.437321,0.197654,"[-0.00683, -0.019901, -0.004546]",0.226377,0.8845
all_rule,10,10,buyer_11,1.05,0.6708,0.398919,0.165978,"[-0.009464, -0.019887, -0.009394]",0.187233,0.8738
all_rule,11,11,buyer_12,1.05,1.2268,0.689299,0.430312,"[0.020014, -0.019998, 0.025349]",0.515678,0.9822
all_rule,12,12,buyer_13,1.1,0.9439,0.510048,0.325246,"[0.014416, -0.019967, 0.003558]",0.383253,0.9464
all_rule,13,13,buyer_14,1.05,1.1228,0.587143,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
all_rule,14,14,buyer_15,1.1,0.7434,0.435134,0.192138,"[-0.004994, -0.019964, -0.005096]",0.222084,0.8841
all_rule,15,15,buyer_16,1.1,0.5272,0.329128,0.092047,"[-0.01518, -0.019986, -0.013144]",0.103738,0.821
all_rule,16,16,buyer_17,1.05,0.8546,0.470724,0.275853,"[-0.002946, -0.019984, 0.01008]",0.323004,0.9288
all_rule,17,17,buyer_18,1.05,0.3638,0.236931,0.04473,"[-0.018379, -0.019901, -0.016802]",0.049649,0.7877
all_rule,18,18,buyer_19,1.05,1.1276,0.591926,0.430312,"[0.033352, -0.019998, 0.012011]",0.515678,0.9822
all_rule,19,19,buyer_20,1.1,0.9317,0.501904,0.315832,"[0.011822, -0.019868, 0.000891]",0.368677,0.9344
all_rule,20,20,buyer_21,1.05,1.0581,0.523619,0.430311,"[0.01868, -0.019998, 0.026683]",0.515676,0.9822
all_rule,21,21,buyer_22,1.05,0.6545,0.392405,0.155952,"[-0.008976, -0.01988, -0.009411]",0.177685,0.871
all_rule,22,22,buyer_23,1.05,1.2707,0.732452,0.430312,"[0.033352, -0.019998, 0.012011]",0.515678,0.9822
all_rule,23,23,buyer_24,1.05,1.1931,0.656252,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
all_rule,24,24,buyer_25,1.1,1.0784,0.538996,0.432811,"[0.024207, -0.019997, 0.021199]",0.51822,0.9804
all_rule,25,25,buyer_26,1.1,0.4946,0.31454,0.080897,"[-0.013949, -0.019976, -0.015739]",0.091232,0.8203
all_rule,26,26,buyer_27,1.1,0.7667,0.444688,0.205976,"[-0.003138, -0.019842, -0.005113]",0.237882,0.8902
all_rule,27,27,buyer_28,1.05,0.3438,0.233003,0.040765,"[-0.017631, -0.019985, -0.017536]",0.045614,0.8104
all_rule,28,28,buyer_29,1.05,0.4543,0.296628,0.072295,"[-0.015751, -0.01982, -0.014842]",0.081882,0.8332
all_rule,29,29,buyer_30,1.05,0.983,0.508183,0.375304,"[0.015047, -0.019999, 0.016909]",0.447261,0.9719
all_rule,30,30,buyer_31,1.05,1.0448,0.516002,0.4262,"[0.018388, -0.019984, 0.026276]",0.510879,0.9829
all_rule,31,31,buyer_32,1.05,1.2675,0.72932,0.430312,"[0.024016, -0.019999, 0.021348]",0.515678,0.9822
all_rule,32,32,buyer_33,1.05,0.6258,0.382364,0.141061,"[-0.009999, -0.019929, -0.00881]",0.162323,0.8704
all_rule,33,33,buyer_34,1.05,0.6705,0.408662,0.164856,"[-0.007105, -0.01998, -0.006107]",0.191664,0.8954
all_rule,34,34,buyer_35,1.05,0.7696,0.441729,0.221685,"[-0.003547, -0.019931, -0.002702]",0.255505,0.906
all_rule,35,35,buyer_36,1.05,0.4895,0.307181,0.084082,"[-0.015882, -0.019932, -0.01491]",0.093358,0.8183
all_rule,36,36,buyer_37,1.05,0.4299,0.27404,0.063843,"[-0.016463, -0.019966, -0.01687]",0.070545,0.8015
all_rule,37,37,buyer_38,1.05,0.7757,0.441273,0.223332,"[-0.005406, -0.019987, 0.000537]",0.258475,0.9021
all_rule,38,38,buyer_39,1.05,0.5269,0.334728,0.097721,"[-0.011521, -0.019896, -0.014187]",0.112118,0.8481
all_rule,39,39,buyer_40,1.05,0.9698,0.505955,0.364701,"[0.019859, -0.019968, 0.009568]",0.43416,0.9694
all_rule,40,40,buyer_41,1.05,0.7372,0.428224,0.199616,"[-0.005524, -0.019987, -0.002483]",0.231623,0.8951
all_rule,41,41,buyer_42,1.05,1.1327,0.596883,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
all_rule,42,42,buyer_43,1.05,1.0003,0.511454,0.389883,"[0.025661, -0.019927, 0.009577]",0.465194,0.9764
all_rule,43,43,buyer_44,1.05,0.6124,0.372409,0.134855,"[-0.009099, -0.019923, -0.012535]",0.153298,0.8585
all_rule,44,44,buyer_45,1.05,1.1323,0.596472,0.430312,"[0.020014, -0.019998, 0.02535]",0.515678,0.9822
all_rule,45,45,buyer_46,1.05,1.1048,0.569465,0.430312,"[0.016013, -0.019998, 0.029351]",0.515678,0.9822
all_rule,46,46,buyer_47,1.05,0.6875,0.408945,0.172343,"[-0.005288, -0.019808, -0.008212]",0.199035,0.8844
all_rule,47,47,buyer_48,1.05,0.5883,0.372958,0.125171,"[-0.011349, -0.01992, -0.00875]",0.145152,0.8806
all_rule,48,48,buyer_49,1.05,0.9825,0.506452,0.374814,"[0.020467, -0.019937, 0.009923]",0.445266,0.9687
all_rule,49,49,buyer_50,1.05,0.4398,0.290835,0.069167,"[-0.016184, -0.019948, -0.016001]",0.077034,0.8365
seller_agent,0,0,buyer_1,0.85,1.074,0.637429,0.348348,"[0.02211, -0.019998, 0.006994]",0.417453,0.9822
seller_agent,1,1,buyer_2,0.95,0.7389,0.420924,0.228019,"[0.001731, -0.019981, -0.001914]",0.267855,0.9322
seller_agent,2,2,buyer_3,0.75,1.1586,0.76968,0.307365,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
seller_agent,3,3,buyer_4,0.8,0.9974,0.586756,0.327858,"[0.011503, -0.019999, 0.013536]",0.392898,0.9822
seller_agent,4,4,buyer_5,0.85,0.3942,0.256941,0.068095,"[-0.014636, -0.019979, -0.01592]",0.07756,0.8486
