step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.65,0.7389,0.406526,0.266384,"[0.004771, -0.019999, 0.008074]",0.319229,0.9822
2,2,buyer_3,0.65,1.1586,0.818792,0.266383,"[0.002294, -0.019999, 0.01055]",0.319229,0.9822
3,3,buyer_4,0.65,0.9974,0.660425,0.266384,"[0.009725, -0.019999, 0.003119]",0.31923,0.9822
4,4,buyer_5,0.65,0.39,0.253997,0.09192,"[-0.012019, -0.019944, -0.012742]",0.107215,0.9164
5,5,buyer_6,0.5,1.2756,1.007406,0.204911,"[0.004136, -0.019999, -0.003486]",0.245561,0.9822
6,6,buyer_7,0.65,1.0611,0.723063,0.266384,"[0.001468, -0.019999, 0.011376]",0.31923,0.9822
7,7,buyer_8,0.65,1.0861,0.747544,0.266385,"[0.007248, -0.019999, 0.005597]",0.319231,0.9822
8,8,buyer_9,0.65,0.42,0.269898,0.108411,"[-0.011926, -0.019894, -0.01135]",0.125241,0.923
9,9,buyer_10,0.5,0.7504,0.491498,0.20491,"[0.00096, -0.019999, -0.00031]",0.245561,0.9822
10,10,buyer_11,0.5,0.6708,0.413324,0.20491,"[0.002865, -0.019999, -0.002216]",0.24556,0.9822
11,11,buyer_12,0.5,1.2268,0.959416,0.204911,"[0.001595, -0.019999, -0.000946]",0.245561,0.9822
12,12,buyer_13,0.5,0.9439,0.681541,0.204911,"[0.002865, -0.019999, -0.002216]",0.245561,0.9822
13,13,buyer_14,0.5,1.1228,0.857256,0.204914,"[-0.002216, -0.019999, 0.002866]",0.245565,0.9822
14,14,buyer_15,0.55,0.7434,0.460093,0.225402,"[0.002357, -0.019999, 0.002357]",0.270118,0.9822
15,15,buyer_16,0.6,0.52,0.29176,0.183317,"[-0.007665, -0.019941, 0.00205]",0.217761,0.9664
16,16,buyer_17,0.6,0.8546,0.544735,0.245892,"[0.002865, -0.019999, 0.005914]",0.294672,0.9822
17,17,buyer_18,0.6,0.35,0.240367,0.080659,"[-0.013434, -0.019995, -0.013481]",0.09375,0.9184
18,18,buyer_19,0.6,1.1276,0.812929,0.245895,"[0.002865, -0.019999, 0.005914]",0.294675,0.9822
19,19,buyer_20,0.6,0.9317,0.620444,0.245893,"[0.006676, -0.019999, 0.002103]",0.294674,0.9822
20,20,buyer_21,0.6,1.0581,0.74462,0.245894,"[0.002103, -0.019999, 0.006676]",0.294675,0.9822
21,21,buyer_22,0.6,0.6545,0.348228,0.245892,"[0.007438, -0.019999, 0.001341]",0.294673,0.9822
