step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.7,0.450607,0.179081,"[-0.00443, -0.019953, -0.006722]",0.207977,0.8913
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.95,0.554571,0.328958,"[0.003657, -0.019997, 0.014853]",0.387471,0.9445
4,4,buyer_5,1.05,0.35,0.266732,0.041595,"[-0.017497, -0.019768, -0.018001]",0.046329,0.7942
5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
6,6,buyer_7,1.1,1.05,0.545352,0.409878,"[0.021249, -0.01999, 0.016887]",0.488025,0.9738
7,7,buyer_8,1.05,1.0861,0.551097,0.430312,"[0.021348, -0.019998, 0.024016]",0.515678,0.9822
8,8,buyer_9,1.1,0.35,0.288073,0.039299,"[-0.01835, -0.019982, -0.017898]",0.04307,0.7735
9,9,buyer_10,1.1,0.7,0.459775,0.170288,"[-0.009181, -0.019897, -0.007138]",0.194073,0.8714
10,10,buyer_11,1.05,0.65,0.407631,0.155203,"[-0.010393, -0.019896, -0.010275]",0.174638,0.868
11,11,buyer_12,1.05,1.2268,0.689299,0.430312,"[0.020014, -0.019998, 0.025349]",0.515678,0.9822
12,12,buyer_13,1.1,0.9,0.537016,0.293019,"[0.009828, -0.019967, 0.000572]",0.343452,0.9328
13,13,buyer_14,1.05,1.1228,0.587143,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
14,14,buyer_15,1.1,0.7,0.453876,0.168608,"[-0.007669, -0.019972, -0.006819]",0.194148,0.8717
15,15,buyer_16,1.1,0.5,0.3369,0.082333,"[-0.015858, -0.019988, -0.013923]",0.092563,0.8146
16,16,buyer_17,1.05,0.8,0.500793,0.238603,"[-0.005425, -0.019989, 0.004395]",0.277585,0.9108
17,17,buyer_18,1.05,0.35,0.239718,0.041303,"[-0.018542, -0.019906, -0.01708]",0.045775,0.7847
18,18,buyer_19,1.05,1.1276,0.591926,0.430312,"[0.033352, -0.019998, 0.012011]",0.515678,0.9822
19,19,buyer_20,1.1,0.9,0.519972,0.292687,"[0.008311, -0.019855, -0.001391]",0.339752,0.9228
20,20,buyer_21,1.05,1.0581,0.523619,0.430311,"[0.01868, -0.019998, 0.026683]",0.515676,0.9822
21,21,buyer_22,1.05,0.6,0.4136,0.129542,"[-0.011353, -0.019896, -0.011525]",0.146767,0.8561
22,22,buyer_23,1.05,1.2707,0.732452,0.430312,"[0.033352, -0.019998, 0.012011]",0.515678,0.9822
23,23,buyer_24,1.05,1.1931,0.656252,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
24,24,buyer_25,1.1,1.05,0.562683,0.409131,"[0.021276, -0.019994, 0.01808]",0.488492,0.9748
25,25,buyer_26,1.05,0.49,0.315891,0.083869,"[-0.013539, -0.019976, -0.015385]",0.094968,0.8306
26,26,buyer_27,1.05,0.76,0.443642,0.214069,"[-0.001183, -0.019853, -0.004854]",0.248179,0.9023
27,27,buyer_28,1.05,0.34,0.233801,0.039846,"[-0.017689, -0.019985, -0.017602]",0.044571,0.8097
28,28,buyer_29,1.05,0.45,0.297874,0.070888,"[-0.015847, -0.019821, -0.014955]",0.080264,0.8324
29,29,buyer_30,1.05,0.95,0.532485,0.348599,"[0.011673, -0.019997, 0.013329]",0.413604,0.9624
30,30,buyer_31,1.05,1.04,0.520744,0.422406,"[0.018053, -0.019983, 0.025849]",0.506326,0.9831
31,31,buyer_32,1.05,1.2675,0.72932,0.430312,"[0.024016, -0.019999, 0.021348]",0.515678,0.9822
32,32,buyer_33,1.05,0.62,0.384732,0.138281,"[-0.010216, -0.01993, -0.009083]",0.159051,0.8689
33,33,buyer_34,1.05,0.67,0.408873,0.164614,"[-0.007127, -0.01998, -0.00613]",0.191377,0.8953
34,34,buyer_35,1.05,0.76,0.446609,0.215763,"[-0.004144, -0.019929, -0.003284]",0.248406,0.9031
35,35,buyer_36,1.05,0.48,0.30991,0.080718,"[-0.016099, -0.019935, -0.015149]",0.089535,0.8161
36,36,buyer_37,1.05,0.42,0.276506,0.060826,"[-0.01666, -0.019968, -0.017054]",0.067144,0.7993
37,37,buyer_38,1.05,0.77,0.444214,0.219787,"[-0.00572, -0.019987, 0.000122]",0.254203,0.9004
38,38,buyer_39,1.05,0.52,0.337033,0.09505,"[-0.01176, -0.019898, -0.014395]",0.108997,0.8465
39,39,buyer_40,1.05,0.96,0.513205,0.356753,"[0.018738, -0.019966, 0.008658]",0.424184,0.9666
40,40,buyer_41,1.05,0.73,0.431638,0.195408,"[-0.005904, -0.019986, -0.002923]",0.226594,0.8929
41,41,buyer_42,1.05,1.13,0.596885,0.430311,"[0.028017, -0.019998, 0.017347]",0.515676,0.9822
42,42,buyer_43,1.05,1.0,0.511673,0.389668,"[0.025625, -0.019927, 0.009555]",0.464922,0.9763
43,43,buyer_44,1.05,0.61,0.373291,0.133742,"[-0.009215, -0.019923, -0.012611]",0.151993,0.8578
44,44,buyer_45,1.05,1.13,0.596474,0.430311,"[0.020014, -0.019998, 0.025349]",0.515676,0.9822
45,45,buyer_46,1.05,1.1,0.569465,0.430312,"[0.016013, -0.019998, 0.029351]",0.515678,0.9822
46,46,buyer_47,1.05,0.69,0.407803,0.173711,"[-0.005141, -0.019808, -0.008106]",0.200655,0.8851
47,47,buyer_48,1.05,0.59,0.372289,0.125926,"[-0.011293, -0.01992, -0.008673]",0.14604,0.881
48,48,buyer_49,1.05,0.98,0.508319,0.372785,"[0.020126, -0.019935, 0.009691]",0.442666,0.9679
49,49,buyer_50,1.05,0.44,0.290764,0.069247,"[-0.016179, -0.019948, -0.015995]",0.077125,0.8366
