step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.5,0.7389,0.480194,0.204912,"[-0.000946, -0.019999, 0.001595]",0.245562,0.9822
2,2,buyer_3,0.5,1.1586,0.89246,0.20491,"[-0.002851, -0.019999, 0.0035]",0.245561,0.9822
3,3,buyer_4,0.8,0.9974,0.586756,0.327857,"[0.016585, -0.019998, 0.008455]",0.392898,0.9822
4,4,buyer_5,0.8,0.3,0.289118,0.04203,"[-0.016662, -0.019953, -0.01729]",0.048125,0.8556
5,5,buyer_6,0.8,1.2756,0.86007,0.327856,"[0.018617, -0.019999, 0.006422]",0.392897,0.9822
6,6,buyer_7,0.8,1.0611,0.649395,0.327857,"[0.006422, -0.019999, 0.018617]",0.392898,0.9822
7,7,buyer_8,0.8,1.0861,0.673878,0.327857,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
8,8,buyer_9,0.8,0.3,0.315924,0.042651,"[-0.017371, -0.01997, -0.017522]",0.047788,0.8496
9,9,buyer_10,0.8,0.3,0.572903,0.041114,"[-0.017172, -0.019967, -0.017549]",0.046426,0.8253
10,10,buyer_11,0.8,0.3,0.514711,0.041589,"[-0.017484, -0.019978, -0.017015]",0.047112,0.8375
11,11,buyer_12,0.8,1.2268,0.812078,0.327858,"[0.011503, -0.019999, 0.013536]",0.392899,0.9822
12,12,buyer_13,0.8,0.9439,0.534205,0.327856,"[0.007438, -0.019999, 0.017601]",0.392897,0.9822
13,13,buyer_14,0.8,1.1228,0.709922,0.327858,"[0.01252, -0.019999, 0.01252]",0.392898,0.9822
14,14,buyer_15,0.8,0.3,0.581119,0.042306,"[-0.01726, -0.019967, -0.017509]",0.047569,0.8457
15,15,buyer_16,0.8,0.3,0.397752,0.042266,"[-0.017604, -0.019974, -0.017185]",0.047503,0.8445
16,16,buyer_17,0.8,0.8546,0.44651,0.327857,"[0.015568, -0.019999, 0.009471]",0.392897,0.9822
17,17,buyer_18,0.8,0.3,0.259758,0.041761,"[-0.016958, -0.019906, -0.017391]",0.047506,0.8446
18,18,buyer_19,0.8,1.1276,0.714707,0.327856,"[0.011503, -0.019999, 0.013536]",0.392897,0.9822
19,19,buyer_20,0.8,0.9317,0.522221,0.327856,"[0.015568, -0.019999, 0.009471]",0.392896,0.9822
