step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.7,0.450607,0.179081,"[-0.00443, -0.019953, -0.006722]",0.207977,0.8913
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.9,0.583652,0.291728,"[0.000542, -0.019999, 0.009266]",0.341537,0.9276
4,4,buyer_5,1.05,0.3,0.27565,0.030339,"[-0.018244, -0.019824, -0.018645]",0.033626,0.7846
5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
6,6,buyer_7,1.1,0.9,0.64147,0.293397,"[0.004629, -0.019892, 0.002692]",0.340825,0.9257
7,7,buyer_8,1.1,0.9,0.667474,0.293492,"[0.003258, -0.019874, 0.005453]",0.342329,0.9298
8,8,buyer_9,0.9,0.3,0.311227,0.036565,"[-0.017668, -0.019943, -0.017799]",0.041155,0.8231
9,9,buyer_10,0.9,0.3,0.584101,0.03631,"[-0.016768, -0.019891, -0.017952]",0.041698,0.834
10,10,buyer_11,0.9,0.3,0.514929,0.03719,"[-0.017731, -0.019963, -0.018022]",0.041473,0.8295
11,11,buyer_12,0.9,1.2268,0.762968,0.368838,"[0.020014, -0.019998, 0.013155]",0.442009,0.9822
12,12,buyer_13,1.1,0.8,0.57943,0.225224,"[-0.002201, -0.01987, -0.005001]",0.258151,0.8874
13,13,buyer_14,0.9,1.1228,0.66081,0.36884,"[0.015441, -0.019998, 0.017728]",0.44201,0.9822
14,14,buyer_15,1.1,0.7,0.466551,0.171049,"[-0.007491, -0.019862, -0.004125]",0.19957,0.896
15,15,buyer_16,1.1,0.5,0.350656,0.084611,"[-0.013888, -0.019866, -0.014515]",0.096342,0.8478
16,16,buyer_17,0.9,0.8,0.482198,0.290471,"[0.004705, -0.01987, 0.008257]",0.343563,0.9663
17,17,buyer_18,0.9,0.3,0.258173,0.036733,"[-0.017755, -0.019901, -0.017944]",0.041134,0.8227
18,18,buyer_19,0.9,1.1276,0.665593,0.36884,"[0.013155, -0.019998, 0.020014]",0.44201,0.9822
19,19,buyer_20,1.1,0.8,0.574034,0.227588,"[-0.005207, -0.019839, -0.001925]",0.260617,0.8959
20,20,buyer_21,0.9,1.0581,0.597287,0.368838,"[0.013155, -0.019999, 0.020014]",0.442009,0.9822
21,21,buyer_22,1.05,0.6,0.421035,0.130019,"[-0.011919, -0.019931, -0.008763]",0.149406,0.8715
22,22,buyer_23,1.05,1.2707,0.732452,0.430312,"[0.016013, -0.019998, 0.029351]",0.515678,0.9822
23,23,buyer_24,1.05,1.1931,0.656252,0.430312,"[0.014679, -0.019998, 0.030685]",0.515678,0.9822
24,24,buyer_25,1.1,1.0,0.603571,0.369453,"[0.010763, -0.019997, 0.019559]",0.439779,0.9675
25,25,buyer_26,1.05,0.4,0.334877,0.05396,"[-0.016477, -0.019985, -0.016524]",0.060974,0.8003
26,26,buyer_27,1.05,0.7,0.474059,0.178239,"[-0.005549, -0.019785, -0.005525]",0.20738,0.8888
27,27,buyer_28,1.05,0.3,0.23996,0.03064,"[-0.018592, -0.019969, -0.017906]",0.034172,0.7974
28,28,buyer_29,1.05,0.4,0.315053,0.055698,"[-0.015636, -0.019916, -0.01666]",0.063486,0.8333
29,29,buyer_30,1.05,0.9,0.562308,0.310137,"[0.001202, -0.019883, 0.011641]",0.363096,0.9414
30,30,buyer_31,1.05,1.0448,0.515467,0.425967,"[0.01563, -0.019998, 0.028825]",0.510423,0.9819
31,31,buyer_32,1.05,1.2675,0.72932,0.430312,"[0.022682, -0.019998, 0.022682]",0.515678,0.9822
32,32,buyer_33,1.05,0.5,0.419265,0.088519,"[-0.014661, -0.019923, -0.015446]",0.09849,0.8273
33,33,buyer_34,1.05,0.5,0.456991,0.086878,"[-0.014311, -0.019944, -0.013961]",0.098663,0.8288
34,34,buyer_35,1.05,0.5,0.56144,0.089098,"[-0.01317, -0.019692, -0.013488]",0.102747,0.8631
35,35,buyer_36,1.05,0.4,0.334217,0.055422,"[-0.017139, -0.019965, -0.016702]",0.061615,0.8087
36,36,buyer_37,1.05,0.4,0.29054,0.05576,"[-0.017007, -0.019979, -0.016195]",0.06258,0.8214
37,37,buyer_38,1.05,0.5,0.535912,0.086835,"[-0.014769, -0.019777, -0.015131]",0.097157,0.8161
38,38,buyer_39,1.05,0.5,0.339455,0.08746,"[-0.014194, -0.019906, -0.014279]",0.099081,0.8323
39,39,buyer_40,1.05,0.5,0.713672,0.087789,"[-0.013947, -0.01997, -0.014007]",0.099864,0.8389
40,40,buyer_41,1.05,0.7,0.44966,0.181047,"[-0.007742, -0.019874, -0.00518]",0.208251,0.8925
41,41,buyer_42,1.0,1.1327,0.62144,0.40982,"[0.02446, -0.019998, 0.016839]",0.491121,0.9822
42,42,buyer_43,1.05,0.9,0.57992,0.309689,"[0.007619, -0.019987, 0.006658]",0.363978,0.9436
43,43,buyer_44,1.0,0.6,0.368802,0.135623,"[-0.010761, -0.019973, -0.011352]",0.153537,0.853
44,44,buyer_45,0.9,1.1323,0.67014,0.368839,"[0.021158, -0.019998, 0.012011]",0.44201,0.9822
45,45,buyer_46,1.05,1.1048,0.569465,0.430312,"[0.01868, -0.019998, 0.026683]",0.515678,0.9822
46,46,buyer_47,1.05,0.6,0.435199,0.128612,"[-0.012483, -0.019949, -0.01161]",0.14457,0.8433
47,47,buyer_48,1.05,0.5,0.394598,0.088201,"[-0.015575, -0.019941, -0.012583]",0.100102,0.8409
48,48,buyer_49,1.05,0.8,0.6185,0.240403,"[0.000687, -0.01989, -0.003074]",0.278126,0.9126
49,49,buyer_50,1.05,0.4,0.299741,0.055634,"[-0.016769, -0.01997, -0.016079]",0.062816,0.8245
