step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.6,0.7389,0.431083,0.245892,"[0.002865, -0.019999, 0.005914]",0.294672,0.9822
2,2,buyer_3,0.7,1.1586,0.794236,0.286874,"[0.004009, -0.019999, 0.0129]",0.343785,0.9822
3,3,buyer_4,0.75,0.9974,0.611313,0.307366,"[0.014298, -0.019998, 0.006676]",0.368342,0.9822
4,4,buyer_5,0.8,0.3942,0.260765,0.073936,"[-0.013919, -0.019929, -0.014845]",0.085243,0.8778
5,5,buyer_6,0.75,1.2756,0.884626,0.307366,"[0.016203, -0.019999, 0.004771]",0.368341,0.9822
6,6,buyer_7,0.75,1.0611,0.673951,0.307366,"[0.004771, -0.019999, 0.016203]",0.368342,0.9822
7,7,buyer_8,0.75,1.0861,0.698434,0.307365,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
8,8,buyer_9,0.75,0.4281,0.274041,0.095906,"[-0.013406, -0.019912, -0.013136]",0.109452,0.8958
9,9,buyer_10,0.75,0.7504,0.368718,0.307365,"[0.01144, -0.019999, 0.009534]",0.36834,0.9822
10,10,buyer_11,0.75,0.6708,0.358711,0.244656,"[0.002791, -0.019959, 0.002698]",0.290186,0.9674
11,11,buyer_12,0.75,1.2268,0.836636,0.307366,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
12,12,buyer_13,0.75,0.9439,0.55876,0.307366,"[0.005723, -0.019999, 0.015251]",0.368342,0.9822
13,13,buyer_14,0.75,1.1228,0.734478,0.307367,"[0.01144, -0.019999, 0.009534]",0.368343,0.9822
14,14,buyer_15,0.8,0.7434,0.386672,0.281945,"[0.008589, -0.019975, 0.005027]",0.335585,0.9715
15,15,buyer_16,0.8,0.5272,0.318993,0.135773,"[-0.008327, -0.019958, -0.010711]",0.156778,0.9024
16,16,buyer_17,0.8,0.8546,0.44651,0.327857,"[0.010487, -0.019998, 0.014552]",0.392897,0.9822
17,17,buyer_18,0.8,0.3638,0.239845,0.062119,"[-0.016095, -0.019914, -0.015523]",0.070588,0.8533
18,18,buyer_19,0.8,1.1276,0.714707,0.327856,"[0.014552, -0.019998, 0.010487]",0.392897,0.9822
19,19,buyer_20,0.8,0.9317,0.522221,0.327856,"[0.018617, -0.019999, 0.006422]",0.392896,0.9822
20,20,buyer_21,0.8,1.0581,0.646398,0.327857,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
21,21,buyer_22,0.8,0.6545,0.368189,0.216101,"[0.000488, -0.019643, -0.002059]",0.254887,0.9519
22,22,buyer_23,0.8,1.2707,0.85523,0.327859,"[0.002357, -0.019999, 0.022682]",0.3929,0.9822
23,23,buyer_24,0.8,1.1931,0.779035,0.327856,"[0.009471, -0.019998, 0.015568]",0.392896,0.9822
24,24,buyer_25,0.8,1.0784,0.666333,0.327857,"[0.01252, -0.019999, 0.01252]",0.392897,0.9822
25,25,buyer_26,0.8,0.4946,0.30779,0.118658,"[-0.010945, -0.01998, -0.01]",0.137733,0.9007
26,26,buyer_27,0.8,0.7667,0.390406,0.3005,"[0.011071, -0.019998, 0.007649]",0.359222,0.9777
27,27,buyer_28,0.8,0.3438,0.229018,0.055271,"[-0.017003, -0.019975, -0.015614]",0.062679,0.8484
28,28,buyer_29,0.8,0.4543,0.287169,0.099044,"[-0.011537, -0.019933, -0.013708]",0.113866,0.8828
29,29,buyer_30,0.8,0.983,0.572691,0.327858,"[0.010487, -0.019999, 0.014552]",0.392898,0.9822
30,30,buyer_31,0.8,1.0448,0.633309,0.327857,"[0.010487, -0.019999, 0.014552]",0.392898,0.9822
31,31,buyer_32,0.8,1.2675,0.852101,0.327856,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
32,32,buyer_33,0.8,0.6258,0.35563,0.195433,"[-0.004428, -0.019973, -0.00257]",0.228462,0.9333
33,33,buyer_34,0.8,0.6705,0.374191,0.227912,"[-0.00163, -0.019889, 0.003504]",0.269897,0.9607
34,34,buyer_35,0.8,0.7696,0.389999,0.302806,"[0.006472, -0.01997, 0.012096]",0.361404,0.9764
35,35,buyer_36,0.8,0.4895,0.301644,0.115349,"[-0.012296, -0.019951, -0.01015]",0.132951,0.8879
36,36,buyer_37,0.8,0.4299,0.277161,0.088335,"[-0.013779, -0.019809, -0.01291]",0.101837,0.8816
37,37,buyer_38,0.8,0.7757,0.391898,0.307968,"[0.009344, -0.019997, 0.011482]",0.368797,0.9807
38,38,buyer_39,0.8,0.5269,0.323676,0.137037,"[-0.010588, -0.019881, -0.007638]",0.158931,0.9159
39,39,buyer_40,0.8,0.9698,0.559692,0.327857,"[0.007438, -0.019999, 0.017601]",0.392898,0.9822
40,40,buyer_41,0.8,0.7372,0.385304,0.277054,"[0.002259, -0.019983, 0.009845]",0.329174,0.9692
41,41,buyer_42,0.8,1.1327,0.719664,0.327857,"[0.010487, -0.019999, 0.014552]",0.392897,0.9822
42,42,buyer_43,0.8,1.0003,0.589604,0.327856,"[0.005406, -0.019999, 0.019633]",0.392896,0.9822
43,43,buyer_44,0.8,0.6124,0.355236,0.187721,"[-0.004953, -0.019958, -0.002551]",0.220259,0.9398
44,44,buyer_45,0.8,1.1323,0.719253,0.327857,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
45,45,buyer_46,0.8,1.1048,0.692245,0.327858,"[0.017601, -0.019998, 0.007438]",0.392898,0.9822
46,46,buyer_47,0.8,0.6875,0.375337,0.238998,"[0.00085, -0.019998, 0.002923]",0.282773,0.9573
47,47,buyer_48,0.8,0.5883,0.346568,0.172717,"[-0.00375, -0.01989, -0.007534]",0.201543,0.9316
48,48,buyer_49,0.8,0.9825,0.572148,0.327857,"[0.014552, -0.019998, 0.010487]",0.392898,0.9822
49,49,buyer_50,0.8,0.4398,0.279879,0.09273,"[-0.013645, -0.019975, -0.013032]",0.106079,0.8777
