step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.3,1.074,0.907541,0.12295,"[-0.005137, -0.019999, -0.010473]",0.147341,0.9822
1,1,buyer_2,0.35,0.7389,0.553862,0.143439,"[-0.006662, -0.019999, -0.004883]",0.171894,0.9822
2,2,buyer_3,0.3,1.1586,0.990684,0.122947,"[-0.009711, -0.019999, -0.0059]",0.147337,0.9822
3,3,buyer_4,0.35,0.9974,0.807757,0.143441,"[-0.003994, -0.019999, -0.007551]",0.171897,0.9822
4,4,buyer_5,0.35,0.3942,0.215284,0.143437,"[-0.00355, -0.019999, -0.007996]",0.171893,0.9822
5,5,buyer_6,0.4,1.2756,1.056518,0.163929,"[-0.002724, -0.019999, -0.004756]",0.196449,0.9822
6,6,buyer_7,0.45,1.0611,0.821287,0.184421,"[-0.003423, -0.019999, 7e-06]",0.221006,0.9822
7,7,buyer_8,0.4,1.0861,0.870326,0.163929,"[-0.00374, -0.019999, -0.00374]",0.19645,0.9822
8,8,buyer_9,0.4,0.4281,0.224062,0.163928,"[-0.0012, -0.019999, -0.006281]",0.196449,0.9822
9,9,buyer_10,0.4,0.7504,0.54061,0.163928,"[-0.002724, -0.019999, -0.004756]",0.196449,0.9822
10,10,buyer_11,0.45,0.6708,0.43788,0.184419,"[-0.002851, -0.019999, -0.000565]",0.221004,0.9822
11,11,buyer_12,0.4,1.2268,1.008526,0.163931,"[-0.006281, -0.019999, -0.001199]",0.196451,0.9822
12,12,buyer_13,0.4,0.9439,0.730653,0.163929,"[-0.004248, -0.019999, -0.003232]",0.196449,0.9822
13,13,buyer_14,0.4,1.1228,0.90637,0.16393,"[-0.004756, -0.019999, -0.002724]",0.196451,0.9822
14,14,buyer_15,0.4,0.7434,0.533761,0.163929,"[-0.005264, -0.019999, -0.002216]",0.19645,0.9822
15,15,buyer_16,0.4,0.5272,0.321425,0.163929,"[-0.004248, -0.019999, -0.003232]",0.196449,0.9822
