step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.7,0.450607,0.179081,"[-0.00443, -0.019953, -0.006722]",0.207977,0.8913
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.8,0.632335,0.224935,"[-0.004931, -0.019987, 0.00037]",0.260386,0.8951
4,4,buyer_5,1.05,0.3,0.27565,0.030339,"[-0.018244, -0.019824, -0.018645]",0.033626,0.7846
5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
6,6,buyer_7,1.15,0.8,0.689005,0.214559,"[-0.004509, -0.019786, -0.00537]",0.244895,0.8801
7,7,buyer_8,1.1,0.9,0.667474,0.293492,"[0.003258, -0.019874, 0.005453]",0.342329,0.9298
8,8,buyer_9,1.05,0.3,0.304647,0.030563,"[-0.018265, -0.019949, -0.018459]",0.03389,0.7908
9,9,buyer_10,1.05,0.5,0.533792,0.087305,"[-0.012104, -0.01974, -0.014807]",0.100654,0.8455
10,10,buyer_11,0.9,0.3,0.514929,0.03719,"[-0.017731, -0.019963, -0.018022]",0.041473,0.8295
11,11,buyer_12,0.9,1.2268,0.762968,0.368838,"[0.020014, -0.019998, 0.013155]",0.442009,0.9822
12,12,buyer_13,1.1,0.8,0.57943,0.225224,"[-0.002201, -0.01987, -0.005001]",0.258151,0.8874
13,13,buyer_14,0.9,1.1228,0.66081,0.36884,"[0.015441, -0.019998, 0.017728]",0.44201,0.9822
14,14,buyer_15,1.1,0.7,0.466551,0.171049,"[-0.007491, -0.019862, -0.004125]",0.19957,0.896
15,15,buyer_16,1.1,0.3,0.393198,0.029435,"[-0.018018, -0.019968, -0.018374]",0.033075,0.8085
16,16,buyer_17,1.1,0.8,0.51223,0.23033,"[-0.003909, -0.019718, -0.002345]",0.264358,0.9087
17,17,buyer_18,0.9,0.3,0.258173,0.036733,"[-0.017755, -0.019901, -0.017944]",0.041134,0.8227
18,18,buyer_19,0.9,1.1276,0.665593,0.36884,"[0.013155, -0.019998, 0.020014]",0.44201,0.9822
19,19,buyer_20,1.1,0.8,0.574034,0.227588,"[-0.005207, -0.019839, -0.001925]",0.260617,0.8959
20,20,buyer_21,0.9,1.0581,0.597287,0.368838,"[0.013155, -0.019999, 0.020014]",0.442009,0.9822
21,21,buyer_22,1.05,0.6,0.421035,0.130019,"[-0.011919, -0.019931, -0.008763]",0.149406,0.8715
22,22,buyer_23,1.05,1.2707,0.732452,0.430312,"[0.016013, -0.019998, 0.029351]",0.515678,0.9822
23,23,buyer_24,1.05,1.1931,0.656252,0.430312,"[0.014679, -0.019998, 0.030685]",0.515678,0.9822
24,24,buyer_25,1.1,0.8,0.719735,0.227253,"[-0.002351, -0.019979, 0.000963]",0.265885,0.914
25,25,buyer_26,1.1,0.3,0.348536,0.028295,"[-0.01829, -0.019993, -0.018587]",0.031425,0.7682
26,26,buyer_27,1.1,0.5,0.538974,0.082132,"[-0.014363, -0.019855, -0.014133]",0.093781,0.8253
27,27,buyer_28,1.1,0.3,0.238991,0.02906,"[-0.018729, -0.019971, -0.018081]",0.032278,0.789
28,28,buyer_29,1.05,0.3,0.335733,0.030893,"[-0.017719, -0.01995, -0.018253]",0.034972,0.816
29,29,buyer_30,1.05,0.8,0.615927,0.239556,"[-0.005651, -0.019779, 0.002617]",0.276743,0.9081
30,30,buyer_31,1.05,1.0448,0.515467,0.425967,"[0.01563, -0.019998, 0.028825]",0.510423,0.9819
31,31,buyer_32,1.05,1.2675,0.72932,0.430312,"[0.022682, -0.019998, 0.022682]",0.515678,0.9822
32,32,buyer_33,1.05,0.3,0.458351,0.030861,"[-0.0184, -0.019981, -0.018785]",0.033696,0.7862
33,33,buyer_34,1.05,0.3,0.494105,0.030244,"[-0.018431, -0.019978, -0.018095]",0.033741,0.7873
34,34,buyer_35,1.05,0.5,0.56144,0.089098,"[-0.01317, -0.019692, -0.013488]",0.102747,0.8631
35,35,buyer_36,1.05,0.3,0.352984,0.030737,"[-0.01858, -0.019983, -0.018302]",0.033872,0.7904
36,36,buyer_37,1.05,0.3,0.311524,0.03097,"[-0.0185, -0.019987, -0.01799]",0.034493,0.8048
37,37,buyer_38,1.05,0.3,0.56518,0.030222,"[-0.018526, -0.019928, -0.018716]",0.033052,0.7712
38,38,buyer_39,1.05,0.3,0.382431,0.030393,"[-0.018312, -0.019948, -0.018273]",0.03386,0.7901
39,39,buyer_40,1.05,0.3,0.738178,0.030584,"[-0.018254, -0.019988, -0.018213]",0.034129,0.7963
40,40,buyer_41,1.05,0.3,0.557813,0.030992,"[-0.018491, -0.019953, -0.018116]",0.034432,0.8034
41,41,buyer_42,1.05,1.1327,0.596883,0.430312,"[0.026683, -0.019998, 0.018681]",0.515678,0.9822
42,42,buyer_43,1.05,0.8,0.633597,0.239568,"[-0.000155, -0.019976, -0.001802]",0.277635,0.911
43,43,buyer_44,1.05,0.3,0.437881,0.030263,"[-0.018543, -0.019994, -0.018774]",0.032952,0.7689
44,44,buyer_45,1.05,1.1323,0.596472,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
45,45,buyer_46,1.05,1.1048,0.569465,0.430312,"[0.01868, -0.019998, 0.026683]",0.515678,0.9822
46,46,buyer_47,1.1,0.3,0.500424,0.029099,"[-0.01873, -0.019987, -0.01872]",0.031662,0.774
47,47,buyer_48,1.1,0.3,0.436533,0.029288,"[-0.018674, -0.019976, -0.018016]",0.032622,0.7974
48,48,buyer_49,1.1,0.3,0.738009,0.029156,"[-0.018382, -0.019988, -0.018722]",0.032064,0.7838
49,49,buyer_50,1.1,0.3,0.317308,0.029192,"[-0.018599, -0.019984, -0.018063]",0.032546,0.7956
