step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.55,0.7389,0.455639,0.225402,"[0.00096, -0.019999, 0.003755]",0.270117,0.9822
2,2,buyer_3,0.6,1.1586,0.843348,0.245892,"[0.000579, -0.019999, 0.0082]",0.294673,0.9822
3,3,buyer_4,0.65,0.9974,0.660425,0.266384,"[0.009725, -0.019999, 0.003119]",0.31923,0.9822
4,4,buyer_5,0.7,0.3942,0.255937,0.086327,"[-0.012638, -0.019937, -0.013451]",0.100301,0.9037
5,5,buyer_6,0.65,1.2756,0.933738,0.266384,"[0.011376, -0.019999, 0.001468]",0.319229,0.9822
6,6,buyer_7,0.7,1.0611,0.698507,0.286875,"[0.003119, -0.019999, 0.01379]",0.343786,0.9822
7,7,buyer_8,0.65,1.0861,0.747544,0.266385,"[0.007248, -0.019999, 0.005597]",0.319231,0.9822
8,8,buyer_9,0.7,0.4281,0.270554,0.103768,"[-0.012567, -0.0199, -0.012123]",0.119178,0.9103
9,9,buyer_10,0.65,0.7504,0.41783,0.266383,"[0.007248, -0.019999, 0.005596]",0.319228,0.9822
10,10,buyer_11,0.6,0.6708,0.364212,0.245892,"[0.007438, -0.019999, 0.001341]",0.294672,0.9822
11,11,buyer_12,0.65,1.2268,0.885747,0.266384,"[0.008074, -0.019999, 0.004771]",0.31923,0.9822
12,12,buyer_13,0.7,0.9439,0.583317,0.286874,"[0.012011, -0.019999, 0.004898]",0.343785,0.9822
13,13,buyer_14,0.65,1.1228,0.783589,0.266386,"[0.00312, -0.019999, 0.009725]",0.319231,0.9822
14,14,buyer_15,0.7,0.7434,0.386426,0.286874,"[0.008455, -0.019999, 0.008455]",0.343784,0.9822
15,15,buyer_16,0.65,0.5272,0.298851,0.17266,"[-0.008732, -0.019907, -0.000121]",0.2039,0.9536
16,16,buyer_17,0.7,0.8546,0.495622,0.286874,"[0.006676, -0.019999, 0.010233]",0.343785,0.9822
17,17,buyer_18,0.65,0.3638,0.23792,0.079872,"[-0.013682, -0.019994, -0.013736]",0.09246,0.9081
18,18,buyer_19,0.6,1.1276,0.812929,0.245895,"[0.002865, -0.019999, 0.005914]",0.294675,0.9822
19,19,buyer_20,0.65,0.9317,0.595889,0.266383,"[0.008899, -0.019999, 0.003945]",0.319229,0.9822
20,20,buyer_21,0.7,1.0581,0.695509,0.286876,"[0.005787, -0.019999, 0.011122]",0.343786,0.9822
21,21,buyer_22,0.65,0.6545,0.323673,0.266383,"[0.009725, -0.019999, 0.003119]",0.319229,0.9822
22,22,buyer_23,0.7,1.2707,0.904342,0.286877,"[0.004009, -0.019999, 0.012901]",0.343788,0.9822
23,23,buyer_24,0.65,1.1931,0.852702,0.266384,"[0.008899, -0.019999, 0.003945]",0.319229,0.9822
24,24,buyer_25,0.7,1.0784,0.715444,0.286876,"[0.011122, -0.019999, 0.005787]",0.343787,0.9822
25,25,buyer_26,0.65,0.4946,0.288013,0.150995,"[-0.004735, -0.019985, -0.009382]",0.176892,0.9399
26,26,buyer_27,0.65,0.7667,0.433875,0.266383,"[0.004771, -0.019999, 0.008073]",0.319229,0.9822
27,27,buyer_28,0.65,0.3438,0.233084,0.071555,"[-0.014458, -0.019946, -0.013344]",0.083806,0.9217
28,28,buyer_29,0.7,0.4543,0.286679,0.117798,"[-0.010082, -0.019788, -0.010216]",0.137712,0.9342
29,29,buyer_30,0.65,0.983,0.646359,0.266385,"[-0.001835, -0.019999, 0.014679]",0.31923,0.9822
30,30,buyer_31,0.7,1.0448,0.682421,0.286875,"[0.001341, -0.019999, 0.015568]",0.343785,0.9822
31,31,buyer_32,0.65,1.2675,0.925767,0.266385,"[0.008074, -0.019999, 0.004771]",0.319231,0.9822
32,32,buyer_33,0.7,0.6258,0.336497,0.228149,"[0.000796, -0.019959, 0.003031]",0.272017,0.9723
33,33,buyer_34,0.65,0.6705,0.339323,0.266383,"[0.011376, -0.019999, 0.001468]",0.319229,0.9822
34,34,buyer_35,0.7,0.7696,0.412104,0.286874,"[0.008454, -0.019999, 0.008454]",0.343784,0.9822
35,35,buyer_36,0.65,0.4895,0.286878,0.148328,"[-0.007105, -0.019975, -0.008004]",0.173243,0.94
36,36,buyer_37,0.7,0.4299,0.272351,0.103587,"[-0.012068, -0.019951, -0.010867]",0.120701,0.9142
37,37,buyer_38,0.65,0.7757,0.442699,0.266384,"[0.003119, -0.019999, 0.009725]",0.319229,0.9822
38,38,buyer_39,0.7,0.5269,0.309931,0.15901,"[-0.007169, -0.019941, -0.004857]",0.187043,0.9432
39,39,buyer_40,0.65,0.9698,0.633361,0.266383,"[0.006422, -0.019999, 0.006422]",0.319229,0.9822
40,40,buyer_41,0.7,0.7372,0.380275,0.286874,"[0.003119, -0.019999, 0.01379]",0.343785,0.9822
41,41,buyer_42,0.65,1.1327,0.79333,0.266385,"[0.006422, -0.019999, 0.006422]",0.319231,0.9822
42,42,buyer_43,0.7,1.0003,0.638713,0.286876,"[0.012012, -0.019999, 0.004898]",0.343786,0.9822
43,43,buyer_44,0.65,0.6124,0.316436,0.236643,"[0.003031, -0.019954, 0.00208]",0.2818,0.9769
44,44,buyer_45,0.7,1.1323,0.768363,0.286876,"[0.008455, -0.019999, 0.008455]",0.343787,0.9822
45,45,buyer_46,0.65,1.1048,0.765915,0.266383,"[0.003945, -0.019999, 0.008899]",0.319228,0.9822
46,46,buyer_47,0.65,0.6875,0.35604,0.266383,"[0.006422, -0.019999, 0.006422]",0.319228,0.9822
47,47,buyer_48,0.7,0.5883,0.326095,0.200989,"[-0.003497, -0.019902, -0.001225]",0.236365,0.956
48,48,buyer_49,0.7,0.9825,0.62126,0.286876,"[0.011122, -0.019999, 0.005787]",0.343786,0.9822
49,49,buyer_50,0.65,0.4398,0.270188,0.118027,"[-0.008945, -0.019983, -0.01098]",0.138118,0.9285
