step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.3,1.074,0.907541,0.12295,"[-0.005137, -0.019999, -0.010473]",0.147341,0.9822
1,1,buyer_2,0.35,0.7389,0.553862,0.143439,"[-0.006662, -0.019999, -0.004883]",0.171894,0.9822
2,2,buyer_3,0.3,1.1586,0.990684,0.122947,"[-0.009711, -0.019999, -0.0059]",0.147337,0.9822
3,3,buyer_4,0.35,0.9974,0.807757,0.143441,"[-0.003994, -0.019999, -0.007551]",0.171897,0.9822
4,4,buyer_5,0.8,0.3942,0.260757,0.073944,"[-0.013918, -0.019929, -0.014844]",0.085253,0.8778
5,5,buyer_6,0.85,1.2756,0.835514,0.348347,"[0.02103, -0.019999, 0.008073]",0.417453,0.9822
6,6,buyer_7,0.8,1.0611,0.649395,0.327857,"[0.006422, -0.019999, 0.018617]",0.392898,0.9822
7,7,buyer_8,0.85,1.0861,0.649321,0.348349,"[0.015632, -0.019998, 0.013472]",0.417454,0.9822
8,8,buyer_9,0.8,0.4281,0.276522,0.089019,"[-0.014093, -0.019924, -0.013992]",0.10101,0.8818
9,9,buyer_10,0.75,0.7504,0.368718,0.307365,"[0.01144, -0.019999, 0.009534]",0.36834,0.9822
10,10,buyer_11,0.7,0.6708,0.342216,0.263358,"[0.00569, -0.019992, 0.005755]",0.314811,0.9795
11,11,buyer_12,0.65,1.2268,0.885747,0.266384,"[0.007248, -0.019999, 0.005596]",0.319229,0.9822
12,12,buyer_13,0.6,0.9439,0.632429,0.245892,"[0.000579, -0.019999, 0.0082]",0.294673,0.9822
13,13,buyer_14,0.65,1.1228,0.783589,0.266386,"[0.007248, -0.019999, 0.005597]",0.319231,0.9822
14,14,buyer_15,0.7,0.7434,0.386426,0.286874,"[0.010233, -0.019999, 0.006676]",0.343784,0.9822
15,15,buyer_16,0.75,0.5272,0.317935,0.146868,"[-0.00894, -0.019992, -0.005654]",0.172282,0.9298
