step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.7,0.450607,0.179081,"[-0.00443, -0.019953, -0.006722]",0.207977,0.8913
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.8,0.632335,0.224935,"[-0.004931, -0.019987, 0.00037]",0.260386,0.8951
4,4,buyer_5,1.05,0.3942,0.257201,0.053134,"[-0.016697, -0.019715, -0.01728]",0.059442,0.8033
5,5,buyer_6,1.05,1.2756,0.73729,0.430311,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
6,6,buyer_7,1.15,0.8,0.689005,0.214559,"[-0.004509, -0.019786, -0.00537]",0.244895,0.8801
7,7,buyer_8,1.1,0.8,0.714903,0.226639,"[-0.003507, -0.019807, -0.001776]",0.261549,0.8991
8,8,buyer_9,0.8,0.4281,0.276774,0.087848,"[-0.01349, -0.019908, -0.013347]",0.101102,0.8827
9,9,buyer_10,0.8,0.7,0.429481,0.248978,"[0.002981, -0.019825, 0.00401]",0.296145,0.967
10,10,buyer_11,0.8,0.5,0.46392,0.122643,"[-0.009995, -0.01992, -0.011851]",0.140876,0.9016
11,11,buyer_12,0.8,1.2268,0.812078,0.327858,"[0.015568, -0.019999, 0.009471]",0.392899,0.9822
12,12,buyer_13,0.8,0.9439,0.534205,0.327856,"[0.017601, -0.019999, 0.007438]",0.392897,0.9822
13,13,buyer_14,0.95,1.1228,0.636255,0.38933,"[0.024651, -0.019999, 0.012583]",0.466566,0.9822
14,14,buyer_15,1.1,0.5,0.516798,0.082284,"[-0.015318, -0.019994, -0.013722]",0.09325,0.8206
15,15,buyer_16,1.05,0.5,0.337689,0.086861,"[-0.01517, -0.019999, -0.013206]",0.098486,0.8273
16,16,buyer_17,0.95,0.5,0.617552,0.098853,"[-0.014547, -0.019984, -0.011934]",0.112387,0.8541
17,17,buyer_18,0.95,0.5,0.19698,0.097778,"[-0.014473, -0.019838, -0.011865]",0.111603,0.8482
18,18,buyer_19,0.8,1.1276,0.714707,0.327856,"[0.020649, -0.019999, 0.00439]",0.392897,0.9822
19,19,buyer_20,1.1,0.5,0.648551,0.082379,"[-0.015514, -0.019958, -0.016813]",0.090093,0.7928
20,20,buyer_21,1.05,1.0581,0.523619,0.430311,"[0.020014, -0.019998, 0.025349]",0.515676,0.9822
21,21,buyer_22,1.05,0.5,0.443696,0.08809,"[-0.015459, -0.01991, -0.014078]",0.098643,0.8286
22,22,buyer_23,1.05,1.2707,0.732452,0.430312,"[0.033352, -0.019998, 0.012011]",0.515678,0.9822
23,23,buyer_24,1.1,1.1931,0.631698,0.450802,"[0.033098, -0.019998, 0.01633]",0.540233,0.9822
24,24,buyer_25,1.1,0.5,0.801261,0.08263,"[-0.012541, -0.019931, -0.015778]",0.09438,0.8305
25,25,buyer_26,1.1,0.5,0.313055,0.082747,"[-0.013781, -0.019976, -0.015619]",0.093371,0.8217
26,26,buyer_27,1.1,0.5,0.541232,0.083268,"[-0.015647, -0.01992, -0.013527]",0.094174,0.8287
27,27,buyer_28,1.1,0.5,0.19142,0.08366,"[-0.014857, -0.019973, -0.014323]",0.094506,0.8317
28,28,buyer_29,1.1,0.5,0.28355,0.083538,"[-0.015106, -0.01979, -0.014054]",0.094588,0.8324
29,29,buyer_30,1.05,0.5,0.715976,0.087056,"[-0.014396, -0.01995, -0.014058]",0.098652,0.8287
30,30,buyer_31,1.05,1.0448,0.515964,0.42623,"[0.01839, -0.019984, 0.026279]",0.510916,0.9829
31,31,buyer_32,1.05,1.2675,0.72932,0.430312,"[0.024016, -0.019999, 0.021348]",0.515678,0.9822
32,32,buyer_33,1.05,0.5,0.426181,0.08787,"[-0.01406, -0.01995, -0.013744]",0.100115,0.841
33,33,buyer_34,1.05,0.5,0.47233,0.088681,"[-0.013793, -0.019979, -0.012935]",0.101974,0.8566
34,34,buyer_35,1.05,0.5,0.542494,0.088399,"[-0.014899, -0.019906, -0.014314]",0.09928,0.834
35,35,buyer_36,1.05,0.5,0.304054,0.087912,"[-0.01563, -0.019929, -0.014635]",0.097718,0.8208
36,36,buyer_37,1.05,0.5,0.25424,0.087477,"[-0.014842, -0.019944, -0.015332]",0.09736,0.8178
37,37,buyer_38,1.05,0.5,0.544944,0.08789,"[-0.015511, -0.019974, -0.013611]",0.098795,0.8299
38,38,buyer_39,1.05,0.5,0.343459,0.087551,"[-0.01243, -0.019904, -0.014968]",0.10025,0.8421
39,39,buyer_40,1.05,0.5,0.699545,0.085602,"[-0.013325, -0.019987, -0.014403]",0.097887,0.8223
40,40,buyer_41,1.05,0.5,0.512619,0.086897,"[-0.014878, -0.019985, -0.013303]",0.098731,0.8293
41,41,buyer_42,1.05,1.1327,0.596883,0.430312,"[0.028017, -0.019998, 0.017347]",0.515678,0.9822
42,42,buyer_43,1.05,0.5,0.745479,0.088322,"[-0.012628, -0.019948, -0.015036]",0.10071,0.846
43,43,buyer_44,1.05,0.5,0.408158,0.08772,"[-0.013703, -0.01994, -0.01558]",0.098497,0.8274
44,44,buyer_45,1.05,1.1323,0.596472,0.430312,"[0.020014, -0.019998, 0.02535]",0.515678,0.9822
45,45,buyer_46,1.05,1.1048,0.569465,0.430312,"[0.016013, -0.019998, 0.029351]",0.515678,0.9822
46,46,buyer_47,1.1,0.5,0.474217,0.082908,"[-0.014134, -0.019847, -0.01502]",0.093908,0.8264
47,47,buyer_48,1.1,0.5,0.404126,0.084028,"[-0.014389, -0.01993, -0.012965]",0.096744,0.8513
48,48,buyer_49,1.05,0.5,0.708935,0.087508,"[-0.015083, -0.019924, -0.014756]",0.097744,0.8211
49,49,buyer_50,1.05,0.5,0.271857,0.090185,"[-0.014823, -0.019926, -0.014521]",0.100915,0.8477
