step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.55,0.7389,0.455639,0.225402,"[0.00096, -0.019999, 0.003755]",0.270117,0.9822
2,2,buyer_3,0.6,1.1586,0.843348,0.245892,"[0.000579, -0.019999, 0.0082]",0.294673,0.9822
3,3,buyer_4,0.65,0.9974,0.660425,0.266384,"[0.009725, -0.019999, 0.003119]",0.31923,0.9822
4,4,buyer_5,0.7,0.3942,0.255937,0.086327,"[-0.012638, -0.019937, -0.013451]",0.100301,0.9037
5,5,buyer_6,0.75,1.2756,0.884626,0.307366,"[0.016203, -0.019999, 0.004771]",0.368341,0.9822
6,6,buyer_7,0.8,1.0611,0.649396,0.327857,"[0.006422, -0.019999, 0.018617]",0.392898,0.9822
7,7,buyer_8,0.85,1.0861,0.649321,0.348349,"[0.015632, -0.019998, 0.013472]",0.417454,0.9822
8,8,buyer_9,0.9,0.4281,0.279376,0.077612,"[-0.015146, -0.019944, -0.01534]",0.087183,0.8562
9,9,buyer_10,0.85,0.7504,0.401616,0.268066,"[0.008507, -0.019927, 0.000713]",0.317358,0.9581
10,10,buyer_11,0.8,0.6708,0.3686,0.225921,"[-0.002666, -0.019983, 0.002823]",0.266095,0.9462
11,11,buyer_12,0.75,1.2268,0.836636,0.307366,"[0.009534, -0.019999, 0.01144]",0.368341,0.9822
12,12,buyer_13,0.75,0.9439,0.55876,0.307366,"[0.005724, -0.019999, 0.015251]",0.368342,0.9822
13,13,buyer_14,0.75,1.1228,0.734478,0.307367,"[0.010487, -0.019999, 0.010487]",0.368343,0.9822
14,14,buyer_15,0.75,0.7434,0.368526,0.302025,"[0.013698, -0.019998, 0.006385]",0.36211,0.9828
15,15,buyer_16,0.75,0.5272,0.316416,0.147959,"[-0.008963, -0.019901, -0.007597]",0.171498,0.9254
16,16,buyer_17,0.75,0.8546,0.471066,0.307366,"[0.013345, -0.019999, 0.007629]",0.368341,0.9822
17,17,buyer_18,0.75,0.3638,0.241292,0.067194,"[-0.014678, -0.019876, -0.015375]",0.077264,0.8756
18,18,buyer_19,0.7,1.1276,0.763817,0.286876,"[0.007565, -0.019999, 0.009344]",0.343787,0.9822
19,19,buyer_20,0.75,0.9317,0.546776,0.307366,"[0.013345, -0.019999, 0.007629]",0.368342,0.9822
20,20,buyer_21,0.8,1.0581,0.646398,0.327857,"[0.018617, -0.019999, 0.006422]",0.392897,0.9822
21,21,buyer_22,0.85,0.6545,0.377144,0.201697,"[-0.002264, -0.019778, -0.003542]",0.236113,0.9369
22,22,buyer_23,0.85,1.2707,0.830674,0.348349,"[0.015632, -0.019998, 0.013472]",0.417455,0.9822
23,23,buyer_24,0.8,1.1931,0.779035,0.327856,"[0.012519, -0.019998, 0.012519]",0.392896,0.9822
24,24,buyer_25,0.75,1.0784,0.690888,0.307367,"[0.012393, -0.019999, 0.008582]",0.368342,0.9822
25,25,buyer_26,0.75,0.4946,0.304269,0.128827,"[-0.010259, -0.019886, -0.008981]",0.149701,0.9178
26,26,buyer_27,0.75,0.7667,0.384762,0.307366,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
27,27,buyer_28,0.75,0.3438,0.22937,0.060024,"[-0.016257, -0.019968, -0.015594]",0.068205,0.8655
28,28,buyer_29,0.8,0.4543,0.289109,0.099248,"[-0.011528, -0.019949, -0.013135]",0.114636,0.8887
29,29,buyer_30,0.8,0.983,0.572691,0.327858,"[0.008455, -0.019999, 0.016585]",0.392898,0.9822
30,30,buyer_31,0.85,1.0448,0.608752,0.348349,"[0.013472, -0.019999, 0.015632]",0.417454,0.9822
31,31,buyer_32,0.85,1.2675,0.827546,0.348347,"[0.018871, -0.019999, 0.010233]",0.417452,0.9822
32,32,buyer_33,0.8,0.6258,0.355283,0.195687,"[-0.004542, -0.019922, -0.002982]",0.22824,0.9324
33,33,buyer_34,0.75,0.6705,0.360537,0.244496,"[0.001667, -0.019965, 0.005199]",0.291397,0.9724
34,34,buyer_35,0.75,0.7696,0.387547,0.307366,"[0.007629, -0.019999, 0.013345]",0.368341,0.9822
35,35,buyer_36,0.75,0.4895,0.301234,0.124891,"[-0.009982, -0.019915, -0.009084]",0.145909,0.9135
36,36,buyer_37,0.75,0.4299,0.274488,0.094556,"[-0.012095, -0.019939, -0.012243]",0.11028,0.895
37,37,buyer_38,0.8,0.7757,0.392126,0.308327,"[0.009284, -0.019996, 0.011395]",0.369011,0.9812
38,38,buyer_39,0.8,0.5269,0.320752,0.135361,"[-0.008913, -0.019904, -0.009048]",0.157496,0.9076
39,39,buyer_40,0.85,0.9698,0.535136,0.348348,"[0.019951, -0.019998, 0.009153]",0.417454,0.9822
40,40,buyer_41,0.8,0.7372,0.387427,0.27771,"[0.007969, -0.019964, 0.005273]",0.330988,0.9746
41,41,buyer_42,0.75,1.1327,0.74422,0.307366,"[0.014298, -0.019999, 0.006676]",0.368341,0.9822
42,42,buyer_43,0.75,1.0003,0.614158,0.307366,"[0.01144, -0.019999, 0.009534]",0.368341,0.9822
43,43,buyer_44,0.75,0.6124,0.344209,0.201995,"[-0.00223, -0.019796, -0.002504]",0.237466,0.9499
44,44,buyer_45,0.75,1.1323,0.743809,0.307365,"[0.012392, -0.019999, 0.008582]",0.368341,0.9822
45,45,buyer_46,0.75,1.1048,0.716802,0.307366,"[0.007629, -0.019999, 0.013345]",0.368341,0.9822
46,46,buyer_47,0.75,0.6875,0.361629,0.256946,"[0.005754, -0.019963, 0.003239]",0.305976,0.9711
47,47,buyer_48,0.8,0.5883,0.351377,0.172979,"[-0.004584, -0.019753, -0.004302]",0.20434,0.9446
48,48,buyer_49,0.8,0.9825,0.572148,0.327857,"[0.01252, -0.019999, 0.01252]",0.392898,0.9822
49,49,buyer_50,0.85,0.4398,0.283848,0.08707,"[-0.014851, -0.019968, -0.013204]",0.099046,0.8707
