step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.3,0.4,0.907545,0.122946,"[-0.005138, -0.019999, -0.010473]",0.147337,0.9822
1,1,buyer_2,0.3,0.4,0.578419,0.122947,"[-0.008567, -0.02, -0.007043]",0.147337,0.9822
2,2,buyer_3,0.3,0.4,0.990684,0.122946,"[-0.009711, -0.019999, -0.0059]",0.147337,0.9822
3,3,buyer_4,0.3,0.4,0.832318,0.122946,"[-0.006281, -0.019999, -0.00933]",0.147337,0.9822
4,4,buyer_5,0.3,0.31,0.23984,0.122946,"[-0.0059, -0.019999, -0.009711]",0.147336,0.9822
5,5,buyer_6,0.3,0.4,1.10563,0.122947,"[-0.007043, -0.02, -0.008567]",0.147337,0.9822
6,6,buyer_7,0.3,0.4,0.894957,0.122947,"[-0.008948, -0.02, -0.006662]",0.147337,0.9822
7,7,buyer_8,0.3,0.31,0.919439,0.122946,"[-0.007805, -0.02, -0.007805]",0.147336,0.9822
8,8,buyer_9,0.35,0.36,0.248618,0.143437,"[-0.00355, -0.019999, -0.007996]",0.171892,0.9822
9,9,buyer_10,0.4,0.41,0.54061,0.163928,"[-0.002724, -0.019999, -0.004756]",0.196448,0.9822
10,10,buyer_11,0.45,0.46,0.43788,0.184419,"[-0.002851, -0.019999, -0.000565]",0.221005,0.9822
11,11,buyer_12,0.45,0.5,0.983972,0.18442,"[-0.004566, -0.019999, 0.00115]",0.221005,0.9822
12,12,buyer_13,0.45,0.46,0.706097,0.18442,"[-0.002279, -0.019999, -0.001136]",0.221005,0.9822
13,13,buyer_14,0.5,0.6,0.85726,0.204911,"[-0.000946, -0.019999, 0.001595]",0.245561,0.9822
14,14,buyer_15,0.55,0.56,0.460094,0.225402,"[0.000261, -0.019999, 0.004453]",0.270117,0.9822
15,15,buyer_16,0.6,0.61,0.223202,0.245892,"[0.003627, -0.019999, 0.005152]",0.294673,0.9822
16,16,buyer_17,0.65,0.66,0.520178,0.266383,"[0.009725, -0.019999, 0.003119]",0.319228,0.9822
17,17,buyer_18,0.7,0.68,0.032844,0.27041,"[0.006493, -0.02, 0.006608]",0.323511,0.9795
18,18,buyer_19,0.75,0.76,0.739263,0.307366,"[0.009534, -0.019999, 0.01144]",0.368341,0.9822
19,19,buyer_20,0.8,0.81,0.522221,0.327856,"[0.013536, -0.019999, 0.011503]",0.392897,0.9822
20,20,buyer_21,0.85,0.86,0.621844,0.348347,"[0.011313, -0.019999, 0.017791]",0.417452,0.9822
21,21,buyer_22,0.85,0.84,0.235144,0.340284,"[0.016815, -0.019997, 0.010464]",0.407566,0.9819
22,22,buyer_23,0.85,0.86,0.830678,0.348347,"[0.010233, -0.019998, 0.018871]",0.417452,0.9822
23,23,buyer_24,0.85,0.87,0.754478,0.348347,"[0.011313, -0.019998, 0.017791]",0.417453,0.9822
24,24,buyer_25,0.85,0.86,0.641779,0.348347,"[0.017791, -0.019998, 0.011313]",0.417452,0.9822
25,25,buyer_26,0.85,0.84,0.078243,0.34049,"[0.015004, -0.019998, 0.012588]",0.408084,0.9832
26,26,buyer_27,0.85,0.84,0.345227,0.340128,"[0.017968, -0.019995, 0.009363]",0.407464,0.9817
27,27,buyer_28,0.85,0.84,-0.06997,0.340118,"[0.025346, -0.02, 0.002107]",0.407571,0.982
