step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.1,1.074,1.005753,0.040996,"[-0.015044, -0.02, -0.016823]",0.049129,0.9822
1,1,buyer_2,1.05,0.5,0.520024,0.087438,"[-0.01358, -0.019946, -0.014034]",0.099878,0.839
2,2,buyer_3,1.05,1.1586,0.622344,0.430311,"[0.024016, -0.019998, 0.021348]",0.515677,0.9822
3,3,buyer_4,1.1,0.5,0.720716,0.08257,"[-0.015421, -0.019947, -0.014527]",0.092675,0.8155
4,4,buyer_5,1.1,0.1,0.290784,0.003131,"[-0.019855, -0.019979, -0.019905]",0.003392,0.7463
5,5,buyer_6,1.1,1.2756,0.712734,0.450802,"[0.023317, -0.019998, 0.026112]",0.540233,0.9822
6,6,buyer_7,1.15,1.0611,0.549963,0.398345,"[0.018188, -0.019969, 0.014439]",0.471002,0.9621
7,7,buyer_8,1.1,1.0861,0.540015,0.439548,"[0.021054, -0.019995, 0.025965]",0.526572,0.9821
8,8,buyer_9,1.1,0.1,0.317244,0.003144,"[-0.019858, -0.019995, -0.019886]",0.003404,0.749
9,9,buyer_10,1.1,0.1,0.568359,0.003131,"[-0.019784, -0.019992, -0.01989]",0.003464,0.762
10,10,buyer_11,1.1,0.1,0.51227,0.003224,"[-0.019861, -0.019996, -0.019872]",0.003495,0.7689
11,11,buyer_12,1.1,1.2268,0.664743,0.450803,"[0.028906, -0.019998, 0.020522]",0.540234,0.9822
12,12,buyer_13,1.1,0.1,0.678676,0.003095,"[-0.019904, -0.019999, -0.019908]",0.003284,0.7225
13,13,buyer_14,1.1,1.1228,0.562588,0.450802,"[0.023317, -0.019998, 0.026112]",0.540233,0.9822
14,14,buyer_15,1.1,0.1,0.57702,0.003144,"[-0.019831, -0.019992, -0.019771]",0.00355,0.781
15,15,buyer_16,1.1,0.1,0.40597,0.003187,"[-0.019806, -0.019998, -0.019853]",0.00353,0.7767
16,16,buyer_17,1.1,0.1,0.653613,0.003221,"[-0.019842, -0.019995, -0.01989]",0.003495,0.7689
17,17,buyer_18,1.1,0.1,0.273519,0.003177,"[-0.019862, -0.019984, -0.01987]",0.003461,0.7613
18,18,buyer_19,1.1,1.1276,0.567371,0.450803,"[0.020522, -0.019998, 0.028906]",0.540233,0.9822
19,19,buyer_20,1.1,0.1,0.697426,0.00316,"[-0.019897, -0.019984, -0.01986]",0.003419,0.7523
20,20,buyer_21,1.1,1.0581,0.536453,0.41638,"[0.013186, -0.019972, 0.027503]",0.497096,0.9768
21,21,buyer_22,1.1,0.1,0.493472,0.003139,"[-0.019885, -0.019997, -0.019806]",0.003451,0.7592
22,22,buyer_23,1.1,1.2707,0.707896,0.450803,"[0.02192, -0.019998, 0.027509]",0.540234,0.9822
23,23,buyer_24,1.1,1.1931,0.631698,0.450802,"[0.020522, -0.019998, 0.028906]",0.540233,0.9822
