step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.8,1.074,0.661986,0.327856,"[0.019633, -0.019999, 0.005406]",0.392896,0.9822
1,1,buyer_2,0.85,0.5,0.527507,0.112866,"[-0.010187, -0.01997, -0.011631]",0.131078,0.8913
2,2,buyer_3,0.85,1.1586,0.720568,0.348347,"[0.015632, -0.019999, 0.013472]",0.417453,0.9822
3,3,buyer_4,0.9,0.9974,0.537646,0.368838,"[0.015441, -0.019999, 0.017728]",0.442008,0.9822
4,4,buyer_5,0.9,0.3,0.279413,0.036095,"[-0.017352, -0.019994, -0.018158]",0.040591,0.8118
5,5,buyer_6,0.9,1.2756,0.810958,0.368838,"[0.014298, -0.019999, 0.018871]",0.442009,0.9822
6,6,buyer_7,0.95,1.0611,0.575728,0.38933,"[0.016203, -0.019999, 0.021031]",0.466566,0.9822
7,7,buyer_8,1.0,1.0861,0.575654,0.409821,"[0.019379, -0.019998, 0.02192]",0.491121,0.9822
8,8,buyer_9,1.05,0.3,0.299981,0.030736,"[-0.018453, -0.019972, -0.018941]",0.033371,0.7787
9,9,buyer_10,1.0,0.3,0.568163,0.032231,"[-0.018393, -0.019981, -0.017611]",0.036246,0.8055
10,10,buyer_11,1.0,0.3,0.498899,0.032467,"[-0.018461, -0.019986, -0.018145]",0.035875,0.7972
11,11,buyer_12,1.0,1.2268,0.713856,0.409821,"[0.020649, -0.019998, 0.020649]",0.491121,0.9822
12,12,buyer_13,1.0,0.9439,0.485066,0.363684,"[0.016237, -0.01996, 0.013601]",0.433563,0.9733
13,13,buyer_14,1.0,1.1228,0.6117,0.40982,"[0.018109, -0.019998, 0.02319]",0.491121,0.9822
14,14,buyer_15,1.0,0.3,0.55288,0.03213,"[-0.018856, -0.019962, -0.017689]",0.035623,0.7916
15,15,buyer_16,1.0,0.3,0.38495,0.032229,"[-0.017751, -0.019897, -0.01866]",0.035922,0.7983
16,16,buyer_17,1.0,0.3,0.646293,0.031959,"[-0.017921, -0.019902, -0.018212]",0.035924,0.7983
17,17,buyer_18,0.9,0.3,0.253229,0.036077,"[-0.018134, -0.019887, -0.017709]",0.040347,0.8069
18,18,buyer_19,0.9,1.1276,0.665593,0.36884,"[0.015441, -0.019998, 0.017728]",0.44201,0.9822
19,19,buyer_20,0.9,0.9317,0.473108,0.368839,"[0.006295, -0.019998, 0.026874]",0.442009,0.9822
20,20,buyer_21,0.95,1.0581,0.572731,0.389329,"[0.012583, -0.019999, 0.024651]",0.466564,0.9822
21,21,buyer_22,0.95,0.6545,0.390034,0.176272,"[-0.003625, -0.019983, -0.007716]",0.204947,0.909
22,22,buyer_23,0.95,1.2707,0.781563,0.389331,"[0.025858, -0.019998, 0.011376]",0.466567,0.9822
23,23,buyer_24,0.95,1.1931,0.705366,0.389329,"[0.023444, -0.019999, 0.01379]",0.466564,0.9822
24,24,buyer_25,0.95,1.0784,0.592665,0.38933,"[0.018617, -0.019998, 0.018617]",0.466566,0.9822
25,25,buyer_26,0.95,0.3,0.363628,0.034333,"[-0.017256, -0.019968, -0.018597]",0.03851,0.813
26,26,buyer_27,0.95,0.3,0.592018,0.034297,"[-0.017837, -0.019958, -0.017519]",0.038984,0.823
27,27,buyer_28,0.95,0.3,0.247401,0.034708,"[-0.017323, -0.019948, -0.017904]",0.039533,0.8346
28,28,buyer_29,0.95,0.3,0.334607,0.034559,"[-0.017946, -0.019985, -0.017677]",0.038951,0.8223
29,29,buyer_30,0.95,0.983,0.499024,0.38933,"[0.023444, -0.019999, 0.01379]",0.466566,0.9822
30,30,buyer_31,0.95,1.0448,0.559642,0.389329,"[0.025858, -0.019999, 0.011376]",0.466565,0.9822
31,31,buyer_32,0.95,1.2675,0.778433,0.38933,"[0.023444, -0.019998, 0.01379]",0.466565,0.9822
32,32,buyer_33,0.95,0.6258,0.372342,0.158333,"[-0.008907, -0.019912, -0.006656]",0.182858,0.8871
33,33,buyer_34,0.95,0.3,0.514518,0.03476,"[-0.017698, -0.019804, -0.018143]",0.039114,0.8258
34,34,buyer_35,0.95,0.3,0.575737,0.034032,"[-0.018028, -0.019972, -0.018269]",0.037763,0.7972
35,35,buyer_36,0.95,0.3,0.355917,0.034022,"[-0.017726, -0.019988, -0.018174]",0.038134,0.8051
36,36,buyer_37,0.95,0.3,0.324169,0.035236,"[-0.01717, -0.019999, -0.017928]",0.040139,0.8474
37,37,buyer_38,0.95,0.3,0.584176,0.034113,"[-0.018372, -0.019963, -0.017785]",0.037993,0.8021
38,38,buyer_39,0.95,0.3,0.389124,0.033702,"[-0.018115, -0.019989, -0.01716]",0.038437,0.8115
39,39,buyer_40,0.95,0.9698,0.486025,0.389329,"[0.024651, -0.019998, 0.012583]",0.466565,0.9822
40,40,buyer_41,0.95,0.3,0.562611,0.034342,"[-0.017528, -0.019994, -0.018185]",0.038635,0.8156
41,41,buyer_42,1.0,1.1327,0.62144,0.40982,"[0.020649, -0.019998, 0.020649]",0.491121,0.9822
42,42,buyer_43,1.05,0.3,0.750732,0.03055,"[-0.018703, -0.019983, -0.018259]",0.033606,0.7841
43,43,buyer_44,1.1,0.3,0.456921,0.029451,"[-0.01873, -0.019977, -0.018035]",0.03271,0.7996
44,44,buyer_45,1.15,0.3,0.829985,0.027313,"[-0.018871, -0.01994, -0.018792]",0.029711,0.7593
45,45,buyer_46,1.1,1.1,0.544911,0.450801,"[0.02192, -0.019998, 0.027509]",0.540232,0.9822
46,46,buyer_47,1.1,0.3,0.496886,0.028423,"[-0.018663, -0.019996, -0.018325]",0.031438,0.7685
47,47,buyer_48,1.1,0.3,0.4228,0.028763,"[-0.018659, -0.019967, -0.018541]",0.031596,0.7724
48,48,buyer_49,1.1,0.3,0.724997,0.02878,"[-0.018473, -0.019979, -0.018829]",0.031499,0.77
