step_index,round_index,buyer_id,price,bid,buyer_utility,platform_utility,seller_utilities,platform_revenue,gain
0,0,buyer_1,0.5,1.074,0.809319,0.204913,"[0.004771, -0.019999, -0.004121]",0.245563,0.9822
1,1,buyer_2,0.55,0.7389,0.455639,0.225402,"[0.00096, -0.019999, 0.003755]",0.270117,0.9822
2,2,buyer_3,0.6,1.1586,0.843348,0.245892,"[0.000579, -0.019999, 0.0082]",0.294673,0.9822
3,3,buyer_4,0.65,0.9974,0.660425,0.266384,"[0.009725, -0.019999, 0.003119]",0.31923,0.9822
4,4,buyer_5,0.7,0.3942,0.255937,0.086327,"[-0.012638, -0.019937, -0.013451]",0.100301,0.9037
5,5,buyer_6,0.75,1.2756,0.884626,0.307366,"[0.016203, -0.019999, 0.004771]",0.368341,0.9822
6,6,buyer_7,0.8,1.0611,0.649396,0.327857,"[0.006422, -0.019999, 0.018617]",0.392898,0.9822
7,7,buyer_8,0.85,1.0861,0.649321,0.348349,"[0.015632, -0.019998, 0.013472]",0.417454,0.9822
8,8,buyer_9,0.9,0.4281,0.279376,0.077612,"[-0.015146, -0.019944, -0.01534]",0.087183,0.8562
9,9,buyer_10,0.95,0.7504,0.418646,0.234132,"[0.002199, -0.019882, -0.003187]",0.273262,0.9221
10,10,buyer_11,1.0,0.6708,0.393482,0.172447,"[-0.008459, -0.019948, -0.005465]",0.198576,0.8826
11,11,buyer_12,1.05,1.2268,0.689299,0.430312,"[0.021348, -0.019998, 0.024016]",0.515678,0.9822
12,12,buyer_13,1.1,0.9439,0.509629,0.326613,"[0.005587, -0.019903, 0.01064]",0.382937,0.9457
13,13,buyer_14,1.15,1.1228,0.562335,0.44875,"[0.017557, -0.01999, 0.029997]",0.536313,0.9785
14,14,buyer_15,1.2,0.7434,0.439209,0.173897,"[-0.007369, -0.019906, -0.009521]",0.197101,0.8559
15,15,buyer_16,1.25,0.5272,0.322242,0.078475,"[-0.015236, -0.019767, -0.01735]",0.086122,0.7745
16,16,buyer_17,1.2,0.8546,0.487799,0.234449,"[-0.002693, -0.019938, -0.002075]",0.269743,0.8864
17,17,buyer_18,1.15,0.3638,0.240609,0.040777,"[-0.017759, -0.019966, -0.017841]",0.045211,0.7856
18,18,buyer_19,1.1,1.1276,0.56737,0.450803,"[0.020522, -0.019998, 0.028906]",0.540233,0.9822
19,19,buyer_20,1.1,0.9317,0.504801,0.316711,"[0.002609, -0.019877, 0.011361]",0.370805,0.9398
20,20,buyer_21,1.1,1.0581,0.536146,0.416399,"[0.030029, -0.019994, 0.010356]",0.496789,0.9762
21,21,buyer_22,1.1,0.6545,0.396008,0.146819,"[-0.010156, -0.019969, -0.008981]",0.167714,0.8613
22,22,buyer_23,1.1,1.2707,0.707896,0.450803,"[0.026112, -0.019998, 0.023317]",0.540234,0.9822
23,23,buyer_24,1.1,1.1931,0.631698,0.450802,"[0.01633, -0.019998, 0.033098]",0.540233,0.9822
24,24,buyer_25,1.05,1.0784,0.543553,0.430312,"[0.021348, -0.019998, 0.024016]",0.515677,0.9822
25,25,buyer_26,1.05,0.4946,0.315337,0.086154,"[-0.01502, -0.019659, -0.014315]",0.097161,0.8339
26,26,buyer_27,1.05,0.7667,0.43745,0.217367,"[-0.003918, -0.019919, -0.001967]",0.251562,0.8986
27,27,buyer_28,1.05,0.3438,0.222164,0.04021,"[-0.018069, -0.019993, -0.018655]",0.043492,0.7727
28,28,buyer_29,1.1,0.4543,0.298693,0.068646,"[-0.014279, -0.01996, -0.016677]",0.07773,0.8286
29,29,buyer_30,1.1,0.983,0.522466,0.35628,"[0.012746, -0.019911, 0.012931]",0.422046,0.9608
30,30,buyer_31,1.1,1.0448,0.534921,0.405426,"[0.014786, -0.019992, 0.023546]",0.483766,0.975
31,31,buyer_32,1.1,1.2675,0.704764,0.450803,"[0.027509, -0.019998, 0.02192]",0.540234,0.9822
32,32,buyer_33,1.15,0.6258,0.378117,0.125174,"[-0.014644, -0.019622, -0.009562]",0.141345,0.83
33,33,buyer_34,1.2,0.6705,0.398731,0.137759,"[-0.012762, -0.01988, -0.010549]",0.154569,0.8253
34,34,buyer_35,1.15,0.7696,0.452335,0.19717,"[-0.005127, -0.019942, -0.004652]",0.227448,0.8833
35,35,buyer_36,1.2,0.4895,0.313292,0.071112,"[-0.014872, -0.019855, -0.016121]",0.080264,0.804
36,36,buyer_37,1.2,0.4299,0.279315,0.055181,"[-0.01696, -0.019966, -0.017301]",0.060954,0.7915
37,37,buyer_38,1.2,0.7757,0.457438,0.191525,"[-0.003398, -0.019934, -0.009737]",0.218456,0.8713
38,38,buyer_39,1.2,0.5269,0.338182,0.083993,"[-0.013599, -0.019941, -0.015321]",0.095132,0.8224
39,39,buyer_40,1.1,0.9698,0.52018,0.346044,"[0.003794, -0.019945, 0.020189]",0.410082,0.9592
40,40,buyer_41,1.1,0.7372,0.42602,0.187577,"[-0.007581, -0.019943, -0.005376]",0.214678,0.8692
41,41,buyer_42,1.1,1.1327,0.572327,0.450803,"[0.026112, -0.019998, 0.023317]",0.540234,0.9822
42,42,buyer_43,1.1,1.0003,0.525712,0.369604,"[0.015282, -0.019921, 0.013341]",0.438306,0.9638
43,43,buyer_44,1.1,0.6124,0.376228,0.127765,"[-0.012877, -0.019866, -0.009906]",0.145115,0.8514
44,44,buyer_45,1.1,1.1323,0.571917,0.450803,"[0.028906, -0.019998, 0.020522]",0.540233,0.9822
45,45,buyer_46,1.1,1.1048,0.544911,0.450802,"[0.033098, -0.019998, 0.01633]",0.540232,0.9822
46,46,buyer_47,1.1,0.6875,0.40573,0.162267,"[-0.006765, -0.019883, -0.011204]",0.184414,0.8584
47,47,buyer_48,1.1,0.5883,0.351805,0.115473,"[-0.013506, -0.019897, -0.013646]",0.128424,0.8163
48,48,buyer_49,1.1,0.9825,0.52099,0.355657,"[0.010856, -0.01997, 0.013883]",0.420426,0.9582
49,49,buyer_50,1.1,0.4398,0.296918,0.064203,"[-0.014658, -0.019846, -0.015521]",0.074177,0.8439
